Gênero,Ano,Duração,Diretor,Classificação,Idioma,Elenco,Restrição de Idade,Usuário Gosta
Ação,2000,100,Alfred Hitchcock,7.7,Russo,2,14+,Não
Ficção Científica,1942,123,Christopher Nolan,1.5,Mandarim,14,12+,Sim
Thriller,1953,156,Martin Scorsese,6.1,Mandarim,18,14+,Não
Comédia,1946,103,Stanley Kubrick,1.4,Mandarim,9,16+,Não
Comédia,2000,163,Woody Allen,8.0,Alemão,17,10+,Sim
Drama,1961,110,Francis Ford Coppola,6.8,Hindi,20,14+,Não
Animação,2021,121,Quentin Tarantino,3.2,Português,10,Livre,Sim
Drama,1976,93,Christopher Nolan,7.5,Russo,14,18+,Sim
Animação,1972,109,Orson Welles,9.9,Hindi,3,14+,Não
Fantasia,1977,86,Stanley Kubrick,5.4,Mandarim,17,Livre,Sim
Animação,2003,146,Ridley Scott,5.1,Espanhol,17,14+,Não
Drama,1995,84,Quentin Tarantino,5.6,Italiano,13,Livre,Sim
Animação,2013,102,Steven Spielberg,9.9,Japonês,9,10+,Sim
Documentário,1987,126,Steven Spielberg,5.1,Mandarim,12,16+,Não
Documentário,1953,122,Martin Scorsese,1.9,Hindi,6,16+,Não
Romance,1926,80,Woody Allen,4.7,Francês,8,18+,Não
Ficção Científica,1920,125,Ridley Scott,3.7,Espanhol,17,16+,Não
Thriller,1964,154,Martin Scorsese,3.6,Russo,6,10+,Sim
Comédia,2023,124,Martin Scorsese,6.6,Hindi,18,18+,Não
Ficção Científica,1933,95,Woody Allen,8.8,Português,7,12+,Sim
Drama,1938,162,Orson Welles,7.1,Italiano,14,10+,Sim
Ficção Científica,1958,93,Quentin Tarantino,3.7,Italiano,10,Livre,Sim
Thriller,1950,61,Quentin Tarantino,3.1,Japonês,12,18+,Sim
Ficção Científica,1959,112,Christopher Nolan,8.5,Mandarim,17,16+,Sim
Ação,2012,152,Stanley Kubrick,2.3,Espanhol,15,14+,Não
Documentário,1958,124,Stanley Kubrick,8.8,Japonês,12,16+,Não
Ação,1937,178,Quentin Tarantino,2.9,Russo,11,Livre,Sim
Romance,1958,79,Quentin Tarantino,6.1,Alemão,14,18+,Sim
Documentário,2004,131,Ridley Scott,2.9,Japonês,15,14+,Não
Ficção Científica,1943,138,Ridley Scott,4.2,Francês,16,10+,Sim
Terror,1966,114,Francis Ford Coppola,3.0,Alemão,6,16+,Não
Comédia,1975,148,Martin Scorsese,9.1,Inglês,5,Livre,Sim
Fantasia,1983,150,Steven Spielberg,1.7,Português,10,14+,Não
Fantasia,1998,76,Francis Ford Coppola,2.7,Russo,3,Livre,Sim
Terror,1921,170,Woody Allen,9.7,Espanhol,6,16+,Não
Documentário,1952,161,Martin Scorsese,4.9,Italiano,17,10+,Sim
Animação,1939,151,Steven Spielberg,4.7,Hindi,9,18+,Não
Thriller,2002,66,Francis Ford Coppola,5.9,Francês,8,10+,Sim
Comédia,1932,92,Ridley Scott,9.0,Italiano,11,12+,Não
Terror,2005,68,Woody Allen,7.3,Português,17,14+,Não
Thriller,1961,63,Christopher Nolan,2.1,Inglês,4,16+,Sim
Comédia,1988,131,Quentin Tarantino,4.2,Alemão,1,Livre,Sim
Comédia,1995,109,Orson Welles,3.0,Espanhol,1,10+,Sim
Drama,1953,152,Ridley Scott,1.7,Japonês,4,18+,Não
Romance,2021,159,Martin Scorsese,3.1,Francês,1,10+,Sim
Romance,1957,79,Martin Scorsese,3.9,Inglês,15,10+,Sim
Terror,1954,81,Orson Welles,4.2,Mandarim,3,Livre,Sim
Terror,1972,83,Orson Welles,1.6,Inglês,7,12+,Não
Drama,2018,108,Ridley Scott,6.5,Português,9,16+,Não
Comédia,1950,169,Martin Scorsese,4.0,Italiano,11,Livre,Sim
Drama,1942,120,Martin Scorsese,4.3,Japonês,13,18+,Não
Romance,1978,94,Alfred Hitchcock,6.6,Inglês,12,16+,Não
Documentário,1930,174,Francis Ford Coppola,4.6,Francês,4,14+,Não
Fantasia,1955,133,Christopher Nolan,1.5,Japonês,8,14+,Sim
Romance,1995,75,Martin Scorsese,6.0,Português,8,12+,Não
Thriller,1928,96,Alfred Hitchcock,7.2,Inglês,9,Livre,Sim
Thriller,1923,142,Ridley Scott,7.1,Russo,3,12+,Não
Animação,1977,150,Quentin Tarantino,4.4,Espanhol,17,Livre,Sim
Documentário,1958,108,Christopher Nolan,2.2,Italiano,11,16+,Sim
Thriller,1920,122,Woody Allen,10.0,Mandarim,13,12+,Não
Ação,1941,91,Alfred Hitchcock,8.9,Português,9,10+,Sim
Animação,1921,87,Woody Allen,3.2,Japonês,18,Livre,Sim
Terror,1939,80,Steven Spielberg,1.4,Espanhol,11,Livre,Sim
Animação,2022,149,Quentin Tarantino,6.4,Alemão,19,16+,Sim
Documentário,1966,167,Orson Welles,7.6,Hindi,8,16+,Não
Ação,1936,167,Alfred Hitchcock,6.1,Mandarim,17,14+,Não
Ação,1925,72,Orson Welles,7.9,Inglês,18,12+,Não
Drama,1966,93,Martin Scorsese,1.3,Japonês,14,18+,Não
Documentário,1959,169,Woody Allen,3.2,Francês,9,16+,Não
Fantasia,1962,110,Ridley Scott,3.9,Espanhol,5,14+,Não
Ficção Científica,2010,119,Orson Welles,2.8,Alemão,3,18+,Não
Ação,1999,106,Christopher Nolan,2.7,Português,7,18+,Sim
Documentário,2019,125,Alfred Hitchcock,3.0,Russo,15,12+,Não
Comédia,1931,76,Christopher Nolan,5.9,Russo,6,14+,Sim
Thriller,1933,81,Christopher Nolan,2.1,Russo,12,12+,Sim
Animação,1993,149,Christopher Nolan,8.3,Inglês,2,12+,Sim
Comédia,1929,121,Francis Ford Coppola,4.8,Português,19,10+,Sim
Fantasia,2018,150,Francis Ford Coppola,4.7,Russo,18,14+,Não
Thriller,1968,168,Quentin Tarantino,5.5,Italiano,16,Livre,Sim
Ficção Científica,1991,157,Orson Welles,7.8,Inglês,10,Livre,Sim
Comédia,1922,180,Steven Spielberg,1.1,Francês,8,12+,Não
Ação,1955,97,Francis Ford Coppola,9.3,Italiano,14,14+,Não
Animação,2005,109,Francis Ford Coppola,1.8,Hindi,13,16+,Não
Fantasia,1957,103,Martin Scorsese,4.8,Inglês,2,18+,Não
Thriller,1934,141,Woody Allen,4.9,Mandarim,20,14+,Não
Thriller,1958,151,Christopher Nolan,5.6,Mandarim,1,10+,Sim
Romance,1988,76,Christopher Nolan,7.9,Francês,17,12+,Sim
Comédia,2014,106,Stanley Kubrick,9.7,Mandarim,2,10+,Sim
Comédia,1946,89,Woody Allen,5.0,Mandarim,18,14+,Não
Ação,1978,122,Christopher Nolan,1.1,Espanhol,7,Livre,Sim
Comédia,2021,79,Alfred Hitchcock,8.9,Russo,3,18+,Não
Animação,2017,153,Woody Allen,7.9,Italiano,14,16+,Não
Romance,1931,169,Quentin Tarantino,8.1,Alemão,2,10+,Sim
Comédia,1928,117,Steven Spielberg,3.8,Hindi,11,Livre,Sim
Fantasia,1948,88,Stanley Kubrick,2.0,Hindi,11,12+,Não
Drama,1984,170,Woody Allen,9.7,Francês,18,10+,Sim
Comédia,1935,136,Francis Ford Coppola,4.7,Mandarim,5,12+,Não
Thriller,1980,172,Stanley Kubrick,3.8,Japonês,9,18+,Não
Ficção Científica,2008,164,Steven Spielberg,6.2,Russo,4,16+,Não
Comédia,1953,131,Martin Scorsese,3.7,Português,5,14+,Não
Romance,1992,118,Martin Scorsese,10.0,Russo,1,12+,Não
Comédia,2022,64,Martin Scorsese,3.1,Português,3,10+,Sim
Ação,1954,107,Woody Allen,7.2,Italiano,12,14+,Não
Ação,1935,148,Woody Allen,7.8,Japonês,2,10+,Sim
Animação,2018,115,Christopher Nolan,2.8,Japonês,13,10+,Sim
Comédia,1997,169,Ridley Scott,6.4,Francês,17,Livre,Sim
Thriller,1979,130,Martin Scorsese,8.2,Japonês,2,16+,Não
Romance,1989,137,Alfred Hitchcock,2.9,Italiano,15,10+,Sim
Ficção Científica,1931,118,Quentin Tarantino,6.1,Russo,4,14+,Sim
Comédia,1939,161,Woody Allen,5.1,Hindi,6,10+,Sim
Ficção Científica,1933,74,Stanley Kubrick,3.1,Hindi,11,18+,Não
Terror,1942,144,Alfred Hitchcock,3.5,Espanhol,11,16+,Não
Thriller,1998,179,Ridley Scott,9.7,Alemão,16,Livre,Sim
Fantasia,1956,131,Quentin Tarantino,3.1,Japonês,2,14+,Sim
Drama,1939,101,Steven Spielberg,2.4,Russo,20,18+,Não
Comédia,1938,120,Alfred Hitchcock,6.8,Hindi,18,12+,Não
Documentário,2003,123,Francis Ford Coppola,5.4,Português,4,14+,Não
Comédia,2020,84,Christopher Nolan,3.3,Francês,17,12+,Sim
Romance,1995,97,Orson Welles,7.3,Alemão,6,14+,Não
Thriller,1966,135,Francis Ford Coppola,8.7,Hindi,18,Livre,Sim
Romance,1992,64,Stanley Kubrick,1.5,Francês,8,14+,Não
Documentário,1991,132,Steven Spielberg,3.2,Russo,17,16+,Não
Documentário,1955,92,Christopher Nolan,9.0,Espanhol,1,12+,Sim
Documentário,1980,97,Stanley Kubrick,4.5,Hindi,16,14+,Não
Comédia,1983,121,Stanley Kubrick,7.7,Inglês,12,Livre,Sim
Animação,1941,173,Ridley Scott,5.3,Hindi,15,14+,Não
Documentário,2021,141,Quentin Tarantino,2.3,Hindi,17,Livre,Sim
Animação,1982,108,Quentin Tarantino,4.9,Japonês,12,16+,Sim
Comédia,1983,169,Christopher Nolan,6.0,Italiano,15,18+,Sim
Animação,2022,101,Ridley Scott,2.3,Japonês,6,10+,Sim
Thriller,1937,138,Francis Ford Coppola,4.6,Italiano,11,14+,Não
Fantasia,1965,159,Martin Scorsese,8.5,Francês,7,16+,Não
Fantasia,1971,179,Alfred Hitchcock,8.4,Mandarim,9,10+,Sim
Terror,1981,81,Quentin Tarantino,6.7,Português,3,10+,Sim
Animação,2005,101,Stanley Kubrick,9.8,Japonês,19,12+,Não
Ficção Científica,1957,143,Orson Welles,2.4,Inglês,2,Livre,Sim
Drama,1939,120,Orson Welles,4.3,Italiano,12,Livre,Sim
Drama,2016,140,Orson Welles,9.3,Espanhol,9,18+,Não
Documentário,1982,106,Francis Ford Coppola,2.3,Alemão,12,Livre,Sim
Ação,1963,154,Orson Welles,4.8,Português,16,18+,Não
Animação,1990,69,Christopher Nolan,1.2,Inglês,16,16+,Sim
Animação,1983,96,Steven Spielberg,4.0,Mandarim,5,12+,Não
Terror,2007,122,Martin Scorsese,5.5,Inglês,13,18+,Não
Ação,1996,136,Alfred Hitchcock,3.3,Inglês,1,12+,Não
Documentário,1944,165,Francis Ford Coppola,8.0,Italiano,6,Livre,Sim
Terror,1981,140,Orson Welles,9.8,Alemão,10,16+,Não
Ação,1972,174,Alfred Hitchcock,2.9,Mandarim,11,18+,Não
Fantasia,2003,62,Martin Scorsese,9.3,Inglês,12,16+,Não
Fantasia,1961,145,Martin Scorsese,5.8,Português,17,12+,Não
Comédia,1929,72,Orson Welles,9.8,Japonês,6,18+,Não
Thriller,1961,121,Francis Ford Coppola,5.1,Japonês,12,Livre,Sim
Comédia,1928,96,Martin Scorsese,9.1,Italiano,10,10+,Sim
Documentário,1990,137,Martin Scorsese,9.1,Russo,18,18+,Não
Fantasia,2003,140,Steven Spielberg,7.5,Japonês,14,16+,Não
Thriller,2007,137,Martin Scorsese,1.6,Hindi,5,18+,Não
Documentário,1988,85,Quentin Tarantino,7.3,Espanhol,8,12+,Sim
Thriller,2014,118,Francis Ford Coppola,2.2,Inglês,2,Livre,Sim
Terror,1948,166,Alfred Hitchcock,6.2,Inglês,19,18+,Não
Thriller,1966,130,Alfred Hitchcock,6.9,Hindi,13,10+,Sim
Animação,2008,68,Quentin Tarantino,4.6,Hindi,8,16+,Sim
Terror,1935,127,Martin Scorsese,8.0,Hindi,17,12+,Não
Fantasia,1968,180,Woody Allen,2.8,Espanhol,4,10+,Sim
Romance,1982,101,Martin Scorsese,6.8,Russo,3,18+,Não
Comédia,2021,161,Ridley Scott,5.1,Inglês,7,18+,Não
Documentário,1990,120,Ridley Scott,3.5,Inglês,19,16+,Não
Drama,1965,154,Quentin Tarantino,8.4,Mandarim,17,Livre,Sim
Terror,1963,177,Francis Ford Coppola,7.2,Francês,3,16+,Não
Ficção Científica,2003,171,Alfred Hitchcock,2.4,Alemão,8,Livre,Sim
Terror,1969,154,Martin Scorsese,7.2,Japonês,13,Livre,Sim
Ficção Científica,2000,71,Orson Welles,6.1,Hindi,2,18+,Não
Thriller,1960,126,Stanley Kubrick,9.6,Hindi,17,Livre,Sim
Thriller,1973,123,Quentin Tarantino,2.7,Alemão,5,18+,Sim
Fantasia,1971,78,Alfred Hitchcock,2.7,Russo,2,14+,Não
Thriller,1955,60,Stanley Kubrick,9.8,Russo,11,14+,Não
Ação,1943,94,Woody Allen,2.1,Russo,9,14+,Não
Documentário,1973,146,Woody Allen,9.5,Português,16,Livre,Sim
Romance,1964,148,Ridley Scott,7.5,Inglês,19,Livre,Sim
Animação,1988,61,Christopher Nolan,9.1,Japonês,15,18+,Sim
Fantasia,1928,175,Quentin Tarantino,2.3,Inglês,2,10+,Sim
Ação,1993,104,Quentin Tarantino,8.5,Francês,12,Livre,Sim
Romance,1965,86,Francis Ford Coppola,8.6,Japonês,3,18+,Não
Drama,1962,65,Alfred Hitchcock,7.8,Mandarim,18,10+,Sim
Ação,1933,100,Francis Ford Coppola,7.1,Russo,9,10+,Sim
Drama,1952,66,Ridley Scott,1.3,Hindi,18,Livre,Sim
Ficção Científica,2023,177,Ridley Scott,4.8,Francês,19,Livre,Sim
Ação,1961,131,Francis Ford Coppola,6.6,Francês,1,12+,Não
Romance,1920,68,Orson Welles,6.3,Inglês,16,18+,Não
Ação,2023,163,Ridley Scott,5.8,Italiano,8,12+,Não
Romance,2000,117,Christopher Nolan,6.3,Hindi,15,16+,Sim
Comédia,1958,86,Stanley Kubrick,2.7,Japonês,19,10+,Sim
Terror,1955,153,Christopher Nolan,7.5,Inglês,6,16+,Sim
Drama,1986,144,Martin Scorsese,1.2,Mandarim,17,Livre,Sim
Documentário,1954,118,Francis Ford Coppola,10.0,Inglês,9,10+,Sim
Terror,2007,101,Steven Spielberg,5.7,Francês,11,14+,Não
Terror,1989,177,Quentin Tarantino,2.2,Português,12,Livre,Sim
Terror,1922,166,Martin Scorsese,5.7,Russo,13,18+,Não
Terror,1940,96,Steven Spielberg,3.0,Mandarim,8,12+,Não
Thriller,1952,82,Woody Allen,10.0,Italiano,15,12+,Não
Fantasia,1972,126,Steven Spielberg,9.1,Inglês,17,16+,Não
Romance,2008,60,Stanley Kubrick,8.0,Português,17,14+,Não
Ação,1963,86,Alfred Hitchcock,3.4,Inglês,5,14+,Não
Fantasia,1987,155,Woody Allen,9.5,Italiano,9,Livre,Sim
Documentário,1921,76,Alfred Hitchcock,7.0,Alemão,11,18+,Não
Ficção Científica,1993,178,Alfred Hitchcock,1.6,Inglês,12,18+,Não
Ficção Científica,2013,122,Martin Scorsese,3.2,Inglês,17,16+,Não
Animação,2004,109,Francis Ford Coppola,1.0,Espanhol,3,12+,Não
Terror,1952,137,Martin Scorsese,8.7,Espanhol,11,Livre,Sim
Thriller,1938,116,Ridley Scott,6.1,Hindi,4,14+,Não
Thriller,1979,121,Alfred Hitchcock,1.5,Italiano,9,Livre,Sim
Romance,1965,144,Quentin Tarantino,1.7,Inglês,8,14+,Sim
Romance,2019,151,Ridley Scott,1.9,Alemão,7,Livre,Sim
Thriller,2000,143,Woody Allen,5.1,Japonês,13,12+,Não
Romance,1981,132,Martin Scorsese,8.8,Alemão,7,Livre,Sim
Fantasia,1924,163,Steven Spielberg,5.8,Mandarim,8,16+,Não
Documentário,1976,102,Stanley Kubrick,3.0,Italiano,16,18+,Não
Thriller,1966,64,Christopher Nolan,1.3,Inglês,2,10+,Sim
Animação,1989,117,Quentin Tarantino,9.3,Hindi,1,16+,Sim
Comédia,2014,132,Woody Allen,2.7,Russo,14,18+,Não
Drama,1959,98,Orson Welles,8.6,Inglês,20,12+,Não
Drama,1994,166,Steven Spielberg,1.1,Mandarim,2,Livre,Sim
Ficção Científica,1952,140,Francis Ford Coppola,8.6,Alemão,16,14+,Sim
Terror,1949,63,Martin Scorsese,6.9,Mandarim,1,10+,Sim
Fantasia,2006,86,Christopher Nolan,7.4,Português,11,16+,Sim
Terror,1971,143,Steven Spielberg,1.4,Russo,4,10+,Sim
Ficção Científica,1977,83,Francis Ford Coppola,3.5,Italiano,1,18+,Não
Fantasia,2008,60,Francis Ford Coppola,6.9,Português,12,16+,Não
Ficção Científica,2018,65,Orson Welles,7.2,Italiano,15,14+,Não
Thriller,2013,76,Quentin Tarantino,5.8,Inglês,8,12+,Sim
Comédia,1921,160,Ridley Scott,4.1,Espanhol,6,Livre,Sim
Ficção Científica,1988,106,Alfred Hitchcock,6.9,Francês,2,10+,Sim
Ficção Científica,1954,133,Quentin Tarantino,4.7,Mandarim,9,16+,Sim
Documentário,1952,103,Orson Welles,3.1,Italiano,19,16+,Não
Animação,1932,167,Stanley Kubrick,7.6,Espanhol,7,10+,Sim
Romance,1946,122,Quentin Tarantino,1.5,Alemão,8,18+,Sim
Comédia,2021,162,Quentin Tarantino,4.1,Japonês,11,12+,Sim
Comédia,1929,100,Alfred Hitchcock,3.2,Italiano,7,14+,Não
Animação,2013,88,Ridley Scott,7.0,Russo,6,16+,Não
Ação,1953,176,Stanley Kubrick,8.9,Mandarim,8,16+,Não
Romance,1972,69,Alfred Hitchcock,8.1,Italiano,10,12+,Não
Comédia,1940,162,Christopher Nolan,5.9,Italiano,5,14+,Sim
Ficção Científica,1964,159,Christopher Nolan,3.2,Japonês,3,12+,Sim
Documentário,1952,125,Steven Spielberg,8.5,Russo,4,12+,Não
Ação,1975,91,Christopher Nolan,5.1,Japonês,6,12+,Sim
Drama,2010,138,Ridley Scott,7.7,Francês,16,10+,Sim
Romance,1948,128,Francis Ford Coppola,6.6,Francês,1,16+,Não
Terror,1958,80,Quentin Tarantino,7.9,Russo,18,Livre,Sim
Drama,1967,102,Christopher Nolan,6.0,Alemão,20,Livre,Sim
Ficção Científica,1942,112,Stanley Kubrick,5.4,Francês,17,16+,Não
Ficção Científica,1958,164,Steven Spielberg,1.4,Inglês,6,18+,Não
Documentário,2006,84,Woody Allen,3.8,Russo,12,16+,Não
Fantasia,1932,92,Orson Welles,9.4,Português,14,Livre,Sim
Ação,1949,141,Alfred Hitchcock,7.8,Inglês,10,Livre,Sim
Thriller,1982,156,Ridley Scott,8.7,Francês,9,18+,Não
Animação,1966,164,Ridley Scott,6.0,Francês,15,Livre,Sim
Thriller,1982,103,Steven Spielberg,1.5,Mandarim,2,18+,Não
Animação,1932,141,Stanley Kubrick,6.0,Italiano,10,14+,Não
Animação,1968,160,Christopher Nolan,7.5,Francês,1,10+,Sim
Ação,2022,146,Alfred Hitchcock,8.3,Mandarim,18,16+,Não
Ação,1943,61,Francis Ford Coppola,3.9,Russo,15,Livre,Sim
Fantasia,1967,137,Francis Ford Coppola,4.5,Espanhol,14,10+,Sim
Comédia,1978,129,Christopher Nolan,8.1,Japonês,11,12+,Sim
Documentário,2021,143,Steven Spielberg,2.5,Mandarim,12,14+,Não
Romance,1991,61,Alfred Hitchcock,2.8,Mandarim,2,10+,Sim
Fantasia,1988,139,Alfred Hitchcock,2.1,Russo,11,Livre,Sim
Ficção Científica,2016,162,Stanley Kubrick,7.3,Inglês,12,12+,Não
Ficção Científica,1934,110,Steven Spielberg,5.5,Português,8,16+,Não
Terror,1981,148,Martin Scorsese,7.7,Espanhol,4,14+,Não
Comédia,2000,73,Alfred Hitchcock,6.7,Alemão,9,14+,Não
Ação,2022,149,Francis Ford Coppola,6.3,Hindi,10,14+,Não
Romance,1933,107,Martin Scorsese,2.9,Inglês,4,14+,Não
Comédia,1962,118,Quentin Tarantino,5.6,Alemão,6,12+,Sim
Thriller,1957,122,Orson Welles,2.5,Hindi,14,14+,Não
Documentário,1954,73,Quentin Tarantino,9.7,Russo,6,Livre,Sim
Fantasia,2016,179,Woody Allen,7.0,Russo,4,14+,Não
Ação,1930,172,Quentin Tarantino,4.7,Mandarim,2,18+,Sim
Terror,1978,62,Steven Spielberg,7.9,Português,13,16+,Não
Ficção Científica,1981,65,Christopher Nolan,2.9,Português,2,16+,Sim
Ficção Científica,1946,175,Orson Welles,1.7,Alemão,2,16+,Não
Drama,1941,177,Stanley Kubrick,7.9,Hindi,4,12+,Não
Thriller,2023,132,Quentin Tarantino,8.5,Espanhol,6,16+,Sim
Thriller,2019,177,Stanley Kubrick,6.9,Francês,10,14+,Não
Romance,1968,149,Quentin Tarantino,5.6,Francês,2,12+,Sim
Thriller,1943,100,Orson Welles,5.9,Mandarim,13,10+,Sim
Romance,1956,156,Steven Spielberg,9.9,Russo,19,16+,Não
Ação,1981,150,Woody Allen,4.0,Italiano,14,16+,Não
Terror,1962,91,Christopher Nolan,6.0,Mandarim,4,10+,Sim
Fantasia,1986,94,Woody Allen,9.1,Japonês,19,10+,Sim
Comédia,1976,160,Martin Scorsese,5.5,Francês,4,10+,Sim
Comédia,2011,148,Steven Spielberg,9.6,Italiano,11,18+,Não
Romance,1982,95,Woody Allen,9.5,Francês,2,10+,Sim
Terror,1996,143,Steven Spielberg,6.0,Mandarim,4,14+,Não
Fantasia,1983,99,Alfred Hitchcock,1.2,Japonês,14,16+,Não
Comédia,1971,152,Ridley Scott,7.2,Espanhol,18,16+,Não
Ficção Científica,1945,85,Woody Allen,2.4,Espanhol,7,16+,Não
Animação,2001,107,Ridley Scott,4.4,Mandarim,7,Livre,Sim
Drama,1983,87,Orson Welles,3.0,Francês,15,12+,Não
Ação,1927,83,Quentin Tarantino,7.0,Mandarim,12,18+,Sim
Ficção Científica,1956,149,Stanley Kubrick,4.0,Inglês,12,18+,Não
Comédia,1958,104,Orson Welles,7.8,Russo,2,12+,Não
Terror,1943,92,Quentin Tarantino,2.7,Japonês,7,10+,Sim
Fantasia,1981,86,Steven Spielberg,4.6,Mandarim,17,16+,Não
Animação,1966,105,Orson Welles,4.3,Português,17,18+,Não
Romance,1929,117,Alfred Hitchcock,5.5,Português,12,14+,Não
Thriller,2005,116,Ridley Scott,9.4,Russo,6,Livre,Sim
Ação,1961,118,Steven Spielberg,6.3,Russo,14,12+,Não
Terror,2002,155,Woody Allen,1.2,Espanhol,13,14+,Não
Documentário,1961,149,Ridley Scott,5.6,Mandarim,1,16+,Não
Drama,1975,158,Quentin Tarantino,9.6,Italiano,18,16+,Sim
Romance,1982,117,Steven Spielberg,4.2,Português,8,14+,Não
Ficção Científica,1933,106,Martin Scorsese,8.9,Hindi,17,14+,Sim
Documentário,1999,120,Quentin Tarantino,8.6,Inglês,8,12+,Sim
Drama,2014,112,Orson Welles,4.0,Mandarim,7,18+,Não
Documentário,1974,173,Francis Ford Coppola,4.9,Inglês,9,10+,Sim
Terror,1960,106,Stanley Kubrick,7.8,Japonês,13,14+,Não
Ação,1934,96,Stanley Kubrick,3.7,Francês,15,Livre,Sim
Animação,2005,100,Orson Welles,4.4,Francês,8,12+,Não
Thriller,1969,126,Stanley Kubrick,4.5,Russo,10,18+,Não
Fantasia,1969,176,Martin Scorsese,8.3,Hindi,14,16+,Não
Ação,1952,148,Quentin Tarantino,7.6,Espanhol,6,10+,Sim
Drama,1974,152,Woody Allen,8.9,Mandarim,13,18+,Não
Terror,1982,163,Christopher Nolan,8.4,Mandarim,4,18+,Sim
Ficção Científica,1992,116,Alfred Hitchcock,9.5,Espanhol,12,Livre,Sim
Ficção Científica,1982,170,Martin Scorsese,1.8,Italiano,17,10+,Sim
Animação,1969,91,Woody Allen,7.5,Mandarim,9,18+,Não
Animação,2007,156,Francis Ford Coppola,7.7,Espanhol,14,Livre,Sim
Animação,1965,92,Martin Scorsese,9.8,Russo,3,16+,Não
Thriller,1920,169,Orson Welles,4.5,Mandarim,15,18+,Não
Documentário,1970,119,Stanley Kubrick,3.1,Português,12,Livre,Sim
Thriller,1946,152,Francis Ford Coppola,6.2,Espanhol,1,18+,Não
Animação,1949,118,Quentin Tarantino,6.3,Português,1,Livre,Sim
Documentário,1929,123,Orson Welles,6.9,Italiano,17,16+,Não
Thriller,1936,65,Steven Spielberg,9.9,Alemão,18,Livre,Sim
Comédia,1946,177,Francis Ford Coppola,8.3,Russo,19,16+,Não
Fantasia,1932,80,Alfred Hitchcock,5.5,Japonês,13,10+,Sim
Ficção Científica,1997,72,Ridley Scott,4.3,Alemão,18,18+,Não
Animação,1937,163,Alfred Hitchcock,4.6,Português,4,Livre,Sim
Terror,1960,74,Martin Scorsese,2.8,Hindi,11,16+,Não
Terror,1949,125,Francis Ford Coppola,5.3,Inglês,6,10+,Sim
Terror,1987,98,Martin Scorsese,8.1,Mandarim,5,16+,Não
Documentário,1967,135,Martin Scorsese,6.5,Espanhol,12,16+,Não
Thriller,1980,148,Martin Scorsese,2.8,Francês,5,12+,Não
Documentário,1962,172,Ridley Scott,7.3,Alemão,15,16+,Não
Terror,1943,179,Woody Allen,5.0,Japonês,9,10+,Sim
Documentário,2008,93,Woody Allen,9.0,Português,7,10+,Sim
Comédia,1974,74,Steven Spielberg,1.3,Alemão,15,14+,Não
Ação,2003,170,Quentin Tarantino,6.2,Mandarim,19,14+,Sim
Ação,1973,135,Stanley Kubrick,2.9,Espanhol,12,18+,Não
Thriller,1971,91,Stanley Kubrick,7.1,Francês,3,12+,Não
Romance,2007,86,Quentin Tarantino,4.6,Italiano,9,16+,Sim
Ação,1922,80,Christopher Nolan,7.7,Inglês,6,Livre,Sim
Ação,1998,99,Francis Ford Coppola,3.2,Italiano,18,Livre,Sim
Ação,1962,72,Steven Spielberg,7.1,Alemão,14,10+,Sim
Romance,1992,70,Woody Allen,3.3,Português,18,16+,Não
Ficção Científica,1950,163,Woody Allen,2.6,Italiano,11,Livre,Sim
Thriller,1921,157,Christopher Nolan,6.1,Francês,4,12+,Sim
Animação,1961,140,Woody Allen,3.7,Italiano,15,18+,Não
Ficção Científica,1954,80,Orson Welles,4.3,Francês,1,18+,Não
Animação,1943,82,Quentin Tarantino,9.6,Inglês,18,16+,Sim
Romance,1958,96,Steven Spielberg,7.3,Espanhol,15,14+,Não
Fantasia,1983,104,Ridley Scott,5.1,Mandarim,11,12+,Não
Terror,1929,115,Orson Welles,7.0,Português,19,Livre,Sim
Animação,1940,101,Francis Ford Coppola,9.2,Russo,5,10+,Sim
Fantasia,1989,158,Stanley Kubrick,6.1,Japonês,11,14+,Não
Terror,1926,153,Steven Spielberg,1.6,Hindi,20,16+,Não
Animação,1947,66,Quentin Tarantino,3.2,Alemão,8,12+,Sim
Fantasia,2023,143,Christopher Nolan,2.4,Mandarim,3,14+,Sim
Fantasia,2021,70,Christopher Nolan,10.0,Mandarim,14,16+,Sim
Comédia,1935,69,Martin Scorsese,5.3,Alemão,7,Livre,Sim
Documentário,1950,68,Ridley Scott,3.3,Hindi,4,14+,Não
Thriller,1986,103,Martin Scorsese,8.5,Hindi,17,14+,Não
Fantasia,1949,174,Francis Ford Coppola,2.2,Inglês,16,18+,Não
Ficção Científica,2011,106,Alfred Hitchcock,4.3,Francês,3,Livre,Sim
Fantasia,1980,102,Francis Ford Coppola,2.6,Português,1,Livre,Sim
Documentário,1947,129,Alfred Hitchcock,2.0,Russo,8,10+,Sim
Ação,1940,136,Alfred Hitchcock,8.0,Espanhol,16,16+,Não
Ficção Científica,1949,129,Woody Allen,9.5,Russo,16,14+,Sim
Drama,2015,152,Christopher Nolan,9.8,Japonês,3,10+,Sim
Thriller,1979,95,Steven Spielberg,8.2,Italiano,11,14+,Não
Animação,1933,168,Woody Allen,2.9,Espanhol,6,10+,Sim
Animação,1930,147,Francis Ford Coppola,7.3,Japonês,18,10+,Sim
Romance,2019,71,Orson Welles,9.6,Hindi,5,16+,Não
