renda_mensal,idade,pontuacao_credito,valor_emprestimo,duracao_emprestimo,outras_dividas,emprestimo_ativo,emprestimo_aprovado
7627,37,322,26716,32.0,não,sim,sim
2153,50,633,22357,40.0,não,sim,sim
4664,59,770,5193,37.0,sim,não,sim
15105,34,573,42989,,não,não,sim
9093,44,614,25558,30.0,sim,não,sim
11907,70,777,34032,9.0,sim,não,sim
8124,50,508,28305,8.0,sim,não,não
18629,30,516,28136,44.0,sim,sim,sim
4483,30,571,43039,40.0,sim,não,sim
14555,66,656,9044,17.0,sim,sim,sim
11402,53,875,1679,33.0,sim,sim,sim
6369,28,544,38383,13.0,sim,sim,não
2983,27,892,9403,18.0,não,sim,sim
13850,21,478,7830,43.0,não,sim,não
12718,32,515,38417,22.0,não,não,sim
4852,26,888,44737,17.0,não,não,sim
17006,44,645,3864,14.0,sim,sim,sim
11244,39,583,16600,9.0,sim,sim,sim
6823,39,878,628,44.0,sim,sim,sim
16081,64,759,35091,60.0,não,não,sim
12371,25,617,39728,12.0,sim,não,não
10356,31,411,30316,53.0,não,não,sim
17790,28,572,30835,32.0,não,não,sim
3522,57,676,27823,8.0,sim,não,sim
18406,41,709,31004,14.0,não,não,sim
13888,18,691,29683,45.0,sim,não,não
12633,63,525,8952,51.0,não,sim,sim
1398,56,529,3978,8.0,não,não,sim
6713,35,337,32266,51.0,sim,não,sim
17997,42,637,35897,45.0,sim,não,sim
7041,55,414,27417,20.0,sim,sim,sim
3066,45,688,18632,24.0,não,não,sim
17188,69,611,2842,15.0,não,sim,sim
19429,39,635,31834,46.0,sim,não,sim
19258,70,806,6070,59.0,não,não,sim
8395,19,889,6460,36.0,não,sim,não
4672,32,423,3862,34.0,sim,não,sim
8814,28,754,32489,12.0,não,sim,sim
6014,26,795,9964,59.0,não,não,sim
16546,35,371,16721,13.0,sim,não,sim
16665,30,553,10641,60.0,não,sim,sim
11059,66,713,9817,39.0,não,não,sim
9908,57,736,28177,59.0,sim,não,sim
11288,28,821,45063,15.0,não,não,sim
15371,40,643,46389,56.0,sim,sim,sim
6266,34,658,38891,,sim,sim,sim
12181,25,437,26514,11.0,sim,não,não
3449,22,489,32603,51.0,sim,sim,não
7106,66,334,24268,51.0,não,sim,sim
8957,55,506,30767,30.0,não,sim,sim
16696,58,607,24184,48.0,sim,não,sim
9762,62,746,10617,22.0,sim,sim,sim
4148,30,675,38478,42.0,sim,sim,sim
19511,28,394,31277,23.0,não,sim,sim
2004,47,550,27157,28.0,sim,sim,não
5380,41,486,7019,19.0,não,não,sim
7999,57,864,43324,54.0,não,sim,sim
19740,45,648,41777,24.0,não,não,sim
2777,42,716,26477,38.0,sim,não,sim
14830,68,898,16050,36.0,não,sim,sim
5364,36,414,11491,54.0,sim,sim,sim
9400,48,649,48431,12.0,não,não,sim
13534,31,636,32018,6.0,sim,não,sim
13216,56,416,3689,25.0,não,sim,sim
6407,25,598,38404,56.0,sim,não,não
16002,41,549,45620,35.0,não,sim,sim
10524,44,305,35337,54.0,não,sim,sim
7256,36,828,29426,33.0,não,não,sim
7575,21,370,40573,44.0,sim,sim,não
19947,34,522,21429,46.0,sim,sim,sim
13699,33,498,23895,47.0,não,sim,sim
14711,41,566,34463,52.0,sim,sim,sim
13224,67,392,29863,12.0,não,não,sim
16862,63,628,11079,36.0,não,não,sim
6933,42,873,44082,,sim,não,sim
18872,67,393,44065,36.0,não,sim,sim
9081,46,358,4474,11.0,sim,sim,sim
6449,31,496,35385,9.0,sim,não,não
7727,22,677,30924,40.0,sim,sim,não
12318,53,538,7843,57.0,sim,sim,sim
8025,42,555,38243,51.0,sim,não,sim
18850,57,760,43326,42.0,sim,sim,sim
2554,53,706,47479,29.0,sim,não,sim
11995,26,537,37462,14.0,sim,não,sim
12443,38,378,19427,46.0,sim,não,sim
17665,36,339,12384,58.0,sim,não,sim
3891,64,419,20929,44.0,não,não,sim
19990,40,766,12902,38.0,não,não,sim
6625,61,589,9895,29.0,não,não,sim
1627,18,515,6605,42.0,sim,não,não
2761,49,784,24773,18.0,sim,não,sim
15685,38,423,9709,52.0,não,não,sim
14587,54,746,38294,26.0,não,sim,sim
5925,37,635,24895,28.0,sim,não,sim
16960,22,774,45689,41.0,sim,não,não
2113,60,605,43539,15.0,não,sim,não
18186,45,535,16492,48.0,sim,não,sim
13952,24,584,12550,23.0,não,sim,não
19433,55,579,7987,59.0,não,sim,sim
10522,70,547,48998,52.0,sim,não,sim
3788,54,809,7955,39.0,não,não,sim
6439,30,784,31055,,não,sim,sim
14945,35,539,902,8.0,sim,não,sim
16599,51,348,26373,49.0,não,sim,sim
6134,22,378,44602,,não,sim,não
19056,67,422,45036,27.0,não,sim,sim
5249,53,619,17156,13.0,não,não,sim
15245,26,633,8564,39.0,não,sim,sim
2837,38,602,11348,41.0,não,sim,sim
8310,69,866,49797,51.0,não,sim,sim
16546,31,382,35742,18.0,sim,não,sim
12221,47,808,44055,25.0,não,não,sim
4176,58,430,20060,33.0,sim,não,sim
12343,64,607,25060,53.0,sim,sim,sim
15266,19,511,27453,52.0,sim,sim,não
14324,29,546,46837,,sim,não,sim
18902,35,470,21483,18.0,sim,não,sim
6657,63,445,17116,9.0,não,sim,sim
18532,60,669,2861,,não,não,sim
18878,57,301,33499,25.0,sim,sim,sim
18586,45,826,30258,48.0,sim,sim,sim
5940,39,327,6354,55.0,sim,sim,sim
1577,60,733,29582,13.0,sim,sim,não
7870,40,495,35556,8.0,não,não,não
12390,38,422,47250,31.0,não,sim,sim
19828,39,501,17583,,sim,sim,sim
2068,50,424,2033,32.0,não,não,sim
12564,19,738,17476,20.0,sim,não,não
14047,19,751,10653,56.0,sim,não,não
16591,40,761,9010,58.0,sim,não,sim
11962,20,609,24824,54.0,não,sim,não
8384,20,437,35058,9.0,sim,não,não
15988,40,616,13158,9.0,sim,sim,sim
19905,61,647,38686,12.0,não,não,sim
16770,54,805,20332,20.0,não,sim,sim
4243,38,876,36566,29.0,sim,sim,sim
4382,24,373,7232,41.0,não,sim,não
5121,63,841,23466,43.0,não,não,sim
2383,67,846,20201,10.0,sim,sim,não
7586,64,590,29115,52.0,sim,não,sim
18750,41,492,1526,34.0,não,não,sim
4483,66,754,6141,43.0,não,sim,sim
10366,62,656,36598,47.0,sim,sim,sim
5650,68,702,581,58.0,não,sim,sim
18594,28,787,41725,45.0,não,sim,sim
3552,57,577,45908,35.0,não,não,sim
13105,57,875,21970,28.0,não,não,sim
8170,31,665,7247,31.0,não,sim,sim
16491,19,667,21204,54.0,não,sim,não
4993,19,717,33893,37.0,sim,sim,não
9692,62,644,25527,18.0,sim,sim,sim
9145,68,465,16151,29.0,não,não,sim
12481,69,729,18582,19.0,não,não,sim
2366,53,610,16216,41.0,sim,não,sim
1487,42,347,4465,13.0,sim,não,sim
1182,61,616,6342,55.0,sim,não,sim
8454,22,543,25489,26.0,não,sim,não
5659,39,468,32110,37.0,sim,sim,sim
16996,45,618,36501,23.0,sim,não,sim
5773,21,565,28046,54.0,não,não,sim
19130,46,700,8023,19.0,não,não,sim
19854,19,573,39656,10.0,não,sim,não
15097,36,881,15216,12.0,sim,sim,sim
3711,22,405,42720,,sim,sim,não
6600,51,863,30504,7.0,não,não,sim
7664,53,692,41333,36.0,sim,não,sim
16903,55,335,46671,42.0,não,sim,sim
6414,44,662,7546,34.0,não,não,sim
6588,44,793,13925,22.0,não,sim,sim
13568,48,473,47051,46.0,sim,não,sim
1919,58,393,34886,59.0,não,não,sim
15308,26,642,14712,23.0,sim,não,sim
5101,56,474,27549,15.0,não,sim,sim
1266,23,559,48142,9.0,não,sim,não
10251,53,895,42264,37.0,não,sim,sim
4146,43,744,23905,20.0,sim,sim,sim
9173,29,678,5779,39.0,sim,não,sim
3486,51,602,43167,45.0,sim,sim,sim
9149,33,707,11203,23.0,sim,não,sim
8471,47,473,12661,27.0,não,sim,sim
2191,52,784,38946,40.0,sim,sim,não
10360,39,465,28895,9.0,não,não,sim
8665,55,528,30214,21.0,sim,não,sim
2414,64,851,15640,15.0,não,não,sim
2007,40,371,610,44.0,não,não,sim
17407,35,537,2928,,não,sim,sim
9925,43,794,33860,27.0,não,não,sim
11978,70,836,46827,,sim,sim,sim
3885,23,691,42091,54.0,sim,sim,não
7170,49,312,37111,56.0,sim,sim,sim
5511,26,447,4704,,não,não,sim
16995,28,616,35347,21.0,não,sim,sim
11271,44,708,45904,53.0,sim,não,sim
17718,21,479,43141,7.0,não,não,sim
14062,36,465,42646,45.0,não,não,sim
6627,34,499,14355,,não,não,sim
6575,42,623,1051,31.0,sim,sim,sim
7362,20,464,46920,25.0,sim,sim,não
12563,40,781,29816,15.0,não,sim,sim
3570,22,683,25897,46.0,não,sim,não
19936,69,550,15306,40.0,não,não,sim
4384,60,417,45574,16.0,não,não,não
18933,44,517,38413,28.0,sim,sim,sim
14467,55,339,12126,46.0,sim,não,sim
16429,63,743,37632,14.0,não,sim,sim
14159,33,641,18134,11.0,sim,não,sim
17469,61,829,2024,9.0,não,não,sim
11904,28,882,26551,47.0,não,não,sim
11681,23,580,13119,53.0,sim,não,não
7263,65,624,48244,35.0,sim,sim,sim
1000,18,690,45466,40.0,não,não,sim
5618,65,844,14630,54.0,sim,não,sim
3462,19,851,42846,47.0,não,sim,não
15976,40,684,1528,43.0,não,sim,sim
6892,69,739,5436,27.0,sim,sim,sim
13491,57,498,42260,41.0,não,sim,sim
8183,42,605,32941,30.0,sim,não,sim
7035,64,502,5303,7.0,sim,sim,sim
19789,53,829,46090,21.0,sim,não,sim
14547,43,733,35937,43.0,sim,sim,sim
16026,32,885,49173,11.0,sim,sim,sim
11581,66,694,21715,,sim,não,sim
6139,22,332,43608,15.0,sim,sim,não
14843,70,592,34391,31.0,sim,sim,sim
5023,64,694,47777,25.0,sim,não,sim
7838,64,377,9954,34.0,sim,não,sim
8882,19,891,24331,,não,sim,não
1758,51,416,22274,55.0,não,não,sim
2705,63,356,35609,17.0,não,não,não
14683,18,762,6883,11.0,não,sim,não
19310,23,722,20143,15.0,não,não,sim
15704,61,438,17006,25.0,não,sim,sim
15317,70,454,34036,51.0,sim,sim,sim
18746,52,710,9837,41.0,não,sim,sim
18600,63,895,7480,51.0,sim,não,sim
1930,55,790,31149,30.0,sim,não,sim
4801,43,545,22639,25.0,sim,não,sim
3702,19,693,27518,41.0,sim,não,não
19968,22,824,25939,26.0,não,não,sim
4284,45,551,8558,23.0,não,não,sim
5817,19,498,26369,28.0,não,não,sim
13640,40,841,11840,7.0,sim,sim,sim
3031,48,555,24069,46.0,sim,sim,sim
12806,36,371,20187,30.0,sim,não,sim
14102,54,849,39688,39.0,não,sim,sim
7283,57,384,32495,25.0,não,não,sim
1153,58,580,42580,22.0,sim,sim,não
15004,56,837,3317,,sim,sim,sim
7163,20,774,2412,17.0,não,sim,não
7825,53,330,46951,21.0,sim,não,sim
13135,19,705,30287,8.0,sim,sim,não
14532,22,500,34861,45.0,não,não,sim
10706,60,485,38632,47.0,não,não,sim
6302,67,442,7104,32.0,sim,sim,sim
14452,33,562,24866,8.0,sim,sim,sim
13422,49,451,35243,19.0,não,não,sim
9217,57,357,24714,58.0,sim,sim,sim
8324,64,496,13745,29.0,sim,não,sim
10741,36,478,26422,31.0,sim,sim,sim
13429,25,353,37499,25.0,sim,não,não
6046,33,888,44836,46.0,sim,não,sim
13660,62,797,43648,43.0,não,sim,sim
5529,40,529,29717,34.0,sim,não,sim
1642,43,396,26946,53.0,sim,não,sim
13225,34,464,28608,22.0,sim,não,sim
10364,41,331,10410,40.0,sim,não,sim
2798,38,503,16130,47.0,sim,não,sim
10946,66,856,30024,49.0,sim,sim,sim
15348,63,777,18605,29.0,não,não,sim
15978,25,694,24482,22.0,não,não,sim
2152,70,607,16081,,sim,sim,sim
2213,38,470,5492,40.0,não,sim,sim
14316,38,607,759,58.0,sim,não,sim
19875,62,803,555,34.0,sim,sim,sim
2014,57,624,10280,17.0,sim,sim,sim
16283,66,746,21897,50.0,não,não,sim
15434,61,828,33020,7.0,sim,não,sim
1630,28,500,7881,24.0,sim,sim,sim
7721,60,606,12691,51.0,sim,não,sim
16820,46,438,12021,58.0,sim,sim,sim
7436,61,876,12257,,não,não,sim
12995,26,323,40738,47.0,sim,sim,sim
11222,19,372,34949,40.0,sim,não,não
6271,36,635,39143,33.0,não,sim,sim
8449,26,897,32197,51.0,não,não,sim
5877,25,804,12978,18.0,não,não,sim
17064,39,536,32019,8.0,sim,não,sim
13906,61,312,47292,60.0,não,sim,sim
5577,45,572,26590,55.0,sim,sim,sim
1635,26,662,19203,48.0,sim,não,sim
12415,30,627,6622,21.0,não,não,sim
4569,39,590,29037,34.0,sim,não,sim
7418,40,713,33887,16.0,não,sim,sim
7092,63,610,13242,21.0,não,sim,sim
5238,25,474,7488,27.0,não,sim,não
4764,58,302,23929,39.0,não,sim,sim
15359,55,599,38069,38.0,sim,sim,sim
7187,19,835,7374,42.0,não,não,sim
15042,30,604,27230,12.0,sim,sim,sim
13248,23,651,19158,49.0,não,não,sim
4001,48,449,40927,50.0,sim,não,sim
14156,55,402,49482,21.0,não,não,sim
1690,62,548,31412,49.0,não,sim,sim
3681,24,821,46218,40.0,sim,sim,não
2933,27,568,3134,28.0,não,sim,sim
2674,37,529,18071,,não,sim,sim
4263,65,661,37387,50.0,não,não,sim
7250,44,619,43825,11.0,não,não,sim
9225,34,741,42220,54.0,não,não,sim
14079,48,351,16913,17.0,sim,sim,sim
7687,31,599,24156,52.0,sim,não,sim
8866,43,689,44873,10.0,sim,sim,não
10546,18,451,48443,20.0,sim,não,não
8766,43,771,13795,55.0,não,sim,sim
18417,46,820,18850,7.0,sim,sim,sim
11678,45,437,40627,29.0,sim,não,sim
7491,52,666,32633,,sim,não,sim
7774,33,431,15854,28.0,não,não,sim
12037,58,812,11464,20.0,não,não,sim
15993,55,876,23647,40.0,sim,não,sim
14779,53,461,38533,25.0,não,sim,sim
14197,37,579,31792,23.0,sim,sim,sim
16766,56,642,11838,39.0,sim,sim,sim
14310,33,388,14961,19.0,não,não,sim
4463,55,401,31637,37.0,não,não,sim
3785,24,664,16194,24.0,não,não,sim
8983,24,876,2887,34.0,não,não,sim
16516,37,440,34486,,não,sim,sim
6829,38,745,19831,,não,não,sim
17842,27,472,20166,38.0,sim,sim,sim
4349,36,439,28238,27.0,não,não,sim
7127,51,676,5637,55.0,não,não,sim
12733,43,309,30822,41.0,sim,sim,sim
2868,31,462,29734,22.0,não,não,sim
16395,20,586,14381,44.0,não,sim,não
6487,18,499,6095,24.0,sim,sim,não
11809,59,388,6920,,sim,sim,sim
5340,65,647,29938,26.0,não,sim,sim
16410,52,435,2599,54.0,não,sim,sim
3673,27,856,19364,17.0,não,não,sim
4322,64,591,9673,44.0,sim,sim,sim
6464,27,453,4449,20.0,não,não,sim
2108,19,635,27185,28.0,sim,sim,não
13618,53,404,8067,,não,não,sim
2920,44,332,48209,19.0,não,sim,não
10413,53,431,48684,60.0,sim,sim,sim
11591,56,896,9540,35.0,sim,não,sim
7825,19,780,3940,35.0,não,não,sim
18083,21,470,43063,41.0,não,não,sim
8009,37,444,37453,13.0,sim,não,não
14571,44,415,46773,13.0,não,não,sim
12925,33,847,40494,56.0,sim,sim,sim
18996,58,694,8846,40.0,não,sim,sim
10392,21,654,23773,15.0,não,sim,não
17905,28,609,42674,,não,não,sim
5950,42,672,22020,51.0,sim,não,sim
6378,49,803,21776,57.0,não,sim,sim
4037,42,872,11356,44.0,sim,não,sim
6713,65,349,12992,59.0,não,não,sim
2289,69,564,24295,,não,sim,sim
14122,55,804,23687,31.0,não,não,sim
3932,46,322,19062,57.0,não,sim,sim
19775,47,764,31174,28.0,sim,não,sim
6017,19,887,10630,8.0,não,não,sim
9493,53,787,8737,,sim,não,sim
6016,31,457,40316,16.0,sim,sim,não
3376,19,658,1655,43.0,sim,não,não
16613,24,896,26473,58.0,sim,sim,não
10232,43,792,9516,41.0,não,não,sim
5224,67,898,38255,34.0,sim,não,sim
7952,40,317,6578,48.0,não,não,sim
4824,34,522,34783,42.0,não,não,sim
1863,67,401,46743,21.0,sim,não,não
13657,36,532,33849,,não,sim,sim
10348,61,690,42873,53.0,não,não,sim
7693,19,642,48462,37.0,sim,sim,não
11431,67,665,30255,57.0,sim,sim,sim
5060,48,799,43945,57.0,não,não,sim
19633,70,881,3162,58.0,sim,não,sim
2720,70,565,29869,20.0,sim,não,não
14844,59,550,27746,36.0,não,não,sim
19212,49,848,15598,15.0,não,não,sim
9769,24,756,48070,38.0,sim,sim,não
10419,65,621,44609,46.0,não,não,sim
13379,45,680,41931,20.0,sim,não,sim
16723,70,377,45607,11.0,não,não,sim
17718,24,757,10652,17.0,não,não,sim
1238,38,342,19955,31.0,não,não,não
15332,22,639,33732,,sim,sim,não
10994,48,664,14386,17.0,sim,sim,sim
4651,67,774,33035,48.0,sim,sim,sim
19163,27,783,5181,,sim,sim,sim
4879,36,551,46017,53.0,não,não,sim
18676,59,808,10244,40.0,sim,sim,sim
13745,24,396,21019,54.0,sim,sim,não
17308,48,362,42871,,não,não,sim
1706,59,572,11879,9.0,não,não,não
15197,23,648,47891,53.0,não,sim,não
10389,38,308,22573,24.0,não,não,sim
18095,39,468,12769,46.0,não,não,sim
18763,47,696,40256,28.0,não,sim,sim
2052,42,800,38150,22.0,não,não,sim
10305,22,807,8730,10.0,não,não,sim
14236,24,681,32629,43.0,não,não,sim
1580,31,705,21490,49.0,não,sim,sim
1018,38,421,1974,,sim,sim,sim
16685,63,353,665,41.0,não,sim,sim
9302,28,880,44680,32.0,não,sim,sim
5545,37,315,36916,56.0,não,não,sim
1753,19,679,4234,,sim,não,não
6190,69,301,24820,,não,não,sim
17706,20,315,48678,45.0,não,não,sim
13861,51,836,34597,10.0,sim,sim,sim
2802,48,706,17640,,sim,sim,sim
14100,47,673,27179,45.0,sim,sim,sim
12079,70,567,3134,27.0,não,sim,sim
10186,70,892,10869,47.0,não,não,sim
18293,48,437,12588,,não,sim,sim
16459,55,371,25818,36.0,sim,não,sim
14980,60,715,12264,19.0,não,não,sim
19765,32,422,12500,24.0,não,sim,sim
6245,56,458,8619,57.0,não,não,sim
3428,50,499,2735,,sim,não,sim
4477,26,706,14276,30.0,sim,não,sim
18496,40,314,2723,43.0,não,sim,sim
8275,45,399,49470,31.0,não,não,sim
5117,41,706,13364,35.0,não,não,sim
18381,26,658,20229,10.0,não,sim,sim
1813,34,305,31105,38.0,sim,não,não
2023,45,431,14403,,sim,sim,sim
9395,43,454,15119,59.0,não,não,sim
2561,29,702,18379,39.0,sim,não,sim
3110,65,604,32354,,não,sim,sim
17206,48,622,26244,51.0,sim,sim,sim
8640,35,862,20269,25.0,não,não,sim
7604,55,815,29790,18.0,sim,sim,sim
9478,64,730,26072,23.0,não,não,sim
5456,56,701,39095,25.0,sim,sim,sim
9474,20,797,43971,26.0,sim,não,não
12560,28,450,15736,,não,não,sim
5803,44,303,45134,7.0,sim,não,não
17846,51,795,33270,39.0,não,não,sim
19565,38,762,12735,27.0,não,não,sim
17900,21,386,42321,7.0,não,sim,não
15757,20,885,33217,16.0,não,não,sim
18359,26,741,3767,12.0,não,sim,sim
1257,70,521,572,55.0,sim,sim,sim
3928,37,448,13315,32.0,não,não,sim
8652,61,680,34827,,não,sim,sim
5567,50,312,36604,29.0,não,sim,sim
19697,70,463,48282,30.0,sim,não,sim
8093,24,362,14389,57.0,sim,sim,não
2272,50,593,6391,,sim,não,sim
18399,39,389,26639,35.0,sim,sim,sim
17427,27,504,29109,59.0,não,não,sim
18951,67,363,28777,45.0,sim,sim,sim
19046,62,851,12552,33.0,não,sim,sim
10496,60,523,11357,48.0,sim,não,sim
13282,26,623,25850,,não,não,sim
12102,51,740,13078,17.0,sim,sim,sim
10431,57,886,46230,8.0,sim,sim,não
8634,25,686,35753,37.0,não,sim,não
11861,35,392,35799,25.0,não,não,sim
4467,55,698,36129,58.0,não,não,sim
7767,33,657,29703,45.0,sim,sim,sim
18528,45,356,44281,17.0,não,sim,sim
9186,61,398,10606,6.0,não,sim,sim
14241,48,586,49770,55.0,sim,sim,sim
11052,50,815,32673,16.0,sim,não,sim
13015,53,464,34241,50.0,não,sim,sim
9292,68,852,19523,9.0,não,sim,sim
5893,47,506,8430,24.0,sim,não,sim
11024,40,605,4693,49.0,sim,sim,sim
17868,28,458,18935,22.0,não,não,sim
15143,55,541,5689,27.0,sim,sim,sim
12125,41,790,46389,38.0,sim,sim,sim
16445,29,665,43384,57.0,não,não,sim
13519,57,325,48145,56.0,não,não,sim
17439,23,884,23762,10.0,sim,sim,não
9866,62,803,45541,23.0,sim,não,sim
6635,22,427,46840,47.0,sim,não,não
19455,45,727,5696,31.0,não,não,sim
10063,51,686,35845,14.0,não,não,sim
6174,52,404,16357,20.0,sim,não,sim
6334,46,867,14835,,não,sim,sim
8179,23,400,19394,10.0,não,não,sim
19285,63,704,18996,,sim,sim,sim
4476,56,405,38971,26.0,não,não,sim
11931,41,818,8136,38.0,não,sim,sim
11295,29,428,20374,12.0,sim,sim,sim
4365,32,464,2046,28.0,sim,sim,sim
4732,67,381,19856,53.0,sim,não,sim
16686,38,633,46794,33.0,sim,não,sim
2865,44,684,37464,17.0,sim,sim,não
9950,49,664,36081,17.0,não,sim,sim
16968,66,745,44947,23.0,sim,sim,sim
4638,47,444,6330,24.0,sim,não,sim
1013,52,634,19949,60.0,sim,não,sim
10172,34,476,33242,,sim,não,sim
3121,41,891,15608,13.0,sim,não,sim
10526,52,554,40076,30.0,não,sim,sim
8568,24,895,23212,7.0,sim,sim,não
7857,24,501,39790,12.0,sim,sim,não
11740,65,565,42062,54.0,não,não,sim
12573,30,746,19530,21.0,não,sim,sim
10477,46,867,32773,16.0,sim,não,sim
8829,51,461,26017,60.0,não,não,sim
13541,63,801,4299,60.0,sim,não,sim
15158,18,612,26768,38.0,sim,não,não
12590,18,650,37737,54.0,sim,não,não
5262,70,330,16222,54.0,não,não,sim
7156,41,827,25256,34.0,sim,sim,sim
16938,43,323,4364,47.0,sim,não,sim
16823,33,318,7135,24.0,sim,sim,sim
19632,41,482,13500,39.0,não,não,sim
15036,20,637,22196,18.0,não,sim,não
17051,40,382,32475,53.0,sim,sim,sim
7186,49,682,5978,,não,sim,sim
3298,58,776,14951,,sim,não,sim
8187,25,347,13517,36.0,sim,não,não
18319,24,788,8290,49.0,sim,sim,não
7413,44,697,19630,,sim,não,sim
12820,23,507,13022,8.0,sim,sim,não
17279,29,521,40787,14.0,sim,não,sim
13372,39,586,2327,18.0,sim,não,sim
3308,69,658,2484,22.0,não,não,sim
8120,38,437,12959,55.0,sim,não,sim
8369,27,302,47503,13.0,não,sim,sim
4194,66,467,2626,,não,sim,sim
11927,21,394,44229,,sim,não,não
11650,58,705,6902,32.0,não,sim,sim
14943,21,791,46620,18.0,sim,sim,não
9164,42,354,45088,21.0,não,não,sim
6434,37,596,22700,36.0,não,sim,sim
15937,63,712,14533,,não,não,sim
6439,37,861,10721,,não,não,sim
16378,56,569,13838,,não,não,sim
17735,69,581,29316,54.0,sim,sim,sim
14014,44,331,4073,35.0,não,não,sim
10290,57,575,10669,,sim,sim,sim
15856,29,408,44783,32.0,sim,não,sim
10762,66,842,28772,37.0,sim,não,sim
9133,19,400,6384,,não,não,sim
3378,19,704,38460,60.0,não,não,sim
15231,62,559,12754,21.0,não,não,sim
7134,21,689,22535,,não,não,sim
3585,33,612,41745,35.0,não,sim,sim
10506,30,329,46321,39.0,sim,não,sim
11741,28,835,37892,57.0,sim,não,sim
8154,60,338,7188,53.0,não,sim,sim
10308,70,431,20929,20.0,sim,não,sim
13795,40,733,29661,29.0,sim,sim,sim
17647,21,601,49307,,não,sim,não
5196,64,396,14939,32.0,não,não,sim
17534,37,785,34889,47.0,não,não,sim
17328,69,749,19637,56.0,sim,sim,sim
13836,31,797,46471,19.0,sim,sim,sim
15849,51,687,43160,12.0,não,sim,sim
6594,68,432,22080,13.0,não,não,sim
10406,51,635,14193,60.0,sim,não,sim
2843,24,612,7531,56.0,não,sim,não
16444,29,642,22963,14.0,sim,não,sim
2341,18,418,28960,52.0,não,não,sim
9312,56,801,16875,49.0,sim,sim,sim
1205,20,844,39056,56.0,não,não,sim
7038,24,633,22668,34.0,não,não,sim
1413,59,643,22430,37.0,não,não,sim
6392,56,827,21314,8.0,sim,não,sim
17041,58,814,23459,43.0,não,sim,sim
3027,43,592,14836,43.0,sim,sim,sim
12499,34,787,24166,58.0,não,não,sim
19083,28,532,32784,46.0,sim,não,sim
9386,53,312,44003,,sim,sim,sim
15655,25,687,25496,29.0,sim,não,não
3123,32,753,36896,16.0,sim,não,sim
3270,24,629,36152,51.0,não,sim,não
11190,68,704,42728,35.0,não,sim,sim
15953,69,573,23154,,sim,não,sim
5158,19,755,46435,51.0,não,sim,não
18463,49,649,5990,18.0,sim,não,sim
2860,68,330,27851,54.0,não,sim,sim
11289,70,813,35006,43.0,não,não,sim
10182,70,812,33160,34.0,não,não,sim
14265,18,701,29061,49.0,sim,não,não
18165,40,518,14533,19.0,sim,não,sim
8428,46,568,9629,37.0,não,sim,sim
8483,50,510,3828,12.0,não,sim,sim
11582,42,546,42417,16.0,não,sim,sim
3304,59,391,45320,52.0,sim,sim,sim
7244,65,470,29886,55.0,sim,sim,sim
14993,26,458,43738,36.0,sim,não,sim
1633,54,414,9830,,sim,sim,não
2304,58,818,21547,56.0,sim,não,sim
3195,29,860,47322,,sim,não,sim
14364,40,446,1974,24.0,não,sim,sim
18550,27,747,21637,11.0,não,sim,sim
8917,68,392,15119,46.0,sim,sim,sim
2901,44,896,18772,48.0,sim,não,sim
15606,48,793,9584,10.0,não,sim,sim
12127,43,824,6585,41.0,não,não,sim
1657,22,868,36926,18.0,não,não,sim
8328,28,722,44027,43.0,não,sim,sim
11027,36,436,1729,36.0,não,sim,sim
17237,34,558,36981,56.0,sim,não,sim
11830,53,666,29862,33.0,sim,sim,sim
16790,53,797,30777,28.0,sim,não,sim
19876,47,857,42085,35.0,não,não,sim
17625,61,461,6260,27.0,não,não,sim
14504,41,476,40104,29.0,não,não,sim
1422,45,529,48654,39.0,sim,sim,não
6648,42,769,43116,55.0,não,não,sim
15321,47,361,35734,15.0,não,sim,sim
18077,18,503,15619,9.0,não,sim,não
13143,33,812,30156,19.0,sim,não,sim
4317,63,561,21571,9.0,não,sim,não
8317,41,556,27985,22.0,sim,sim,sim
17078,49,492,9293,42.0,sim,não,sim
2838,25,770,1293,8.0,sim,sim,não
13440,63,694,44143,31.0,não,sim,sim
3416,50,446,13775,9.0,sim,não,não
12497,51,856,36961,16.0,sim,não,sim
14542,69,757,45190,32.0,sim,sim,sim
2017,59,303,27036,,sim,sim,não
5715,49,516,18242,21.0,não,sim,sim
13638,38,574,36802,36.0,não,não,sim
4426,48,423,38336,41.0,sim,não,sim
7616,47,640,1119,,não,não,sim
2864,34,745,26745,39.0,sim,não,sim
15295,33,319,17858,51.0,não,sim,sim
15521,19,759,14789,18.0,sim,não,não
4895,44,660,3356,53.0,não,sim,sim
16060,37,734,18180,18.0,não,não,sim
8861,42,824,31052,25.0,não,não,sim
18701,58,542,20895,26.0,não,sim,sim
1182,63,684,8953,31.0,sim,não,sim
18476,49,372,19007,52.0,não,não,sim
13927,28,716,4400,29.0,sim,não,sim
16862,51,466,46567,54.0,sim,sim,sim
4340,56,631,48822,40.0,sim,não,sim
3706,45,455,24650,59.0,sim,sim,sim
5385,26,301,39593,7.0,sim,sim,não
15139,25,709,47889,28.0,não,sim,não
18892,38,397,12628,22.0,sim,não,sim
9675,21,837,7286,40.0,não,sim,não
18110,66,398,32985,,não,sim,sim
11497,52,854,2555,45.0,não,sim,sim
14610,45,479,37127,15.0,sim,não,sim
8395,23,401,24021,35.0,sim,não,não
