marca,ano,quilometragem,combustivel,transmissao,tipo_carro,cor,valor
Chevrolet,2008,69743,diesel,automático,pickup,,35180
Mercedes,2023,30100,híbrido,manual,sedan,preto,286930
Chevrolet,2019,19358,diesel,manual,SUV,vermelho,140449
Mercedes,2021,220324,híbrido,manual,hatchback,cinza,132773
Volkswagen,2017,88334,diesel,automático,conversível,cinza,92166
Nissan,2022,212061,elétrico,automático,pickup,prata,96557
Nissan,2013,39506,gasolina,automático,conversível,,91346
Mercedes,2021,213074,gasolina,automático,sedan,verde,123848
Audi,2021,119428,diesel,automático,SUV,prata,196400
Chevrolet,2022,236736,elétrico,automático,sedan,branco,37285
Nissan,2015,99865,diesel,manual,SUV,,77094
BMW,2014,139539,diesel,manual,hatchback,azul,119323
Audi,2010,118917,diesel,manual,hatchback,vermelho,70758
Audi,2021,220086,híbrido,manual,conversível,,118940
Chevrolet,2022,202021,diesel,manual,pickup,azul,26585
Nissan,2021,8118,híbrido,manual,sedan,,176317
Nissan,2013,81853,diesel,manual,pickup,cinza,68703
Ford,2009,65245,híbrido,automático,pickup,,59328
Chevrolet,2005,79528,elétrico,manual,SUV,prata,42330
Chevrolet,2020,66759,diesel,manual,pickup,,107269
BMW,2005,27433,híbrido,automático,pickup,verde,197797
Honda,2020,145797,gasolina,manual,hatchback,cinza,23942
Toyota,2007,32398,híbrido,automático,hatchback,,54321
Mercedes,2017,21977,diesel,automático,sedan,preto,243616
Audi,2016,142128,gasolina,automático,SUV,verde,131510
Mercedes,2001,4285,elétrico,automático,pickup,azul,207000
Toyota,2021,31476,gasolina,manual,sedan,,110967
Volkswagen,2001,72816,híbrido,automático,conversível,,12029
Audi,2012,110284,gasolina,manual,pickup,,104801
Ford,2007,23358,diesel,manual,sedan,preto,18649
Audi,2017,202923,diesel,manual,conversível,,81954
Mercedes,2013,61599,diesel,manual,hatchback,,166881
Audi,2005,65255,diesel,automático,conversível,,108322
BMW,2002,62909,híbrido,manual,pickup,,137964
Nissan,2008,18467,gasolina,manual,sedan,,43073
BMW,2001,177788,diesel,automático,sedan,,22548
BMW,2002,81058,diesel,automático,SUV,cinza,125259
BMW,2010,110239,elétrico,automático,hatchback,preto,167833
Audi,2021,200900,elétrico,manual,conversível,,153370
BMW,2005,113292,elétrico,automático,hatchback,,130696
Volkswagen,2014,81941,diesel,automático,conversível,cinza,75641
Hyundai,2014,3004,diesel,automático,conversível,,144897
Volkswagen,2019,61549,híbrido,automático,pickup,vermelho,152916
Audi,2016,74861,diesel,manual,hatchback,,143597
Mercedes,2008,214352,diesel,manual,conversível,,45954
Mercedes,2009,211579,híbrido,manual,sedan,branco,61895
BMW,2021,144748,gasolina,automático,hatchback,,164676
Mercedes,2014,5966,diesel,automático,pickup,,254824
Nissan,2020,140128,gasolina,manual,pickup,,62910
Honda,2013,92639,gasolina,automático,hatchback,,26153
Honda,2017,170778,diesel,manual,pickup,verde,27455
Volkswagen,2001,57937,elétrico,automático,hatchback,prata,22444
Volkswagen,2020,217007,elétrico,automático,sedan,azul,51095
Ford,2004,27226,híbrido,manual,sedan,verde,15942
Ford,2018,95696,híbrido,manual,conversível,,80013
Honda,2005,48401,diesel,automático,pickup,,43119
BMW,2006,58928,elétrico,manual,hatchback,,161750
Volkswagen,2010,157903,elétrico,automático,SUV,azul,50468
Volkswagen,2023,187833,híbrido,automático,hatchback,,64517
Mercedes,2020,96256,diesel,manual,conversível,,212621
Nissan,2005,43159,elétrico,automático,conversível,,88789
Nissan,2022,134123,gasolina,automático,sedan,cinza,74114
BMW,2005,139781,híbrido,automático,pickup,preto,119153
Mercedes,2006,53600,híbrido,manual,sedan,,151480
Nissan,2014,176206,híbrido,automático,conversível,,37656
Honda,2023,215377,gasolina,manual,SUV,,31236
Honda,2002,4024,gasolina,automático,SUV,vermelho,46183
Mercedes,2016,30237,elétrico,manual,conversível,verde,272834
Honda,2014,27387,elétrico,manual,sedan,branco,127829
Mercedes,2020,203676,diesel,automático,conversível,,151427
Mercedes,2004,114657,híbrido,automático,SUV,,136740
Hyundai,2009,123145,elétrico,automático,SUV,vermelho,81798
Hyundai,2013,190232,híbrido,automático,sedan,,13838
BMW,2007,209454,diesel,manual,SUV,,56382
Volkswagen,2014,104849,elétrico,manual,sedan,,73606
Mercedes,2000,42647,híbrido,manual,pickup,,138147
Mercedes,2010,191002,gasolina,automático,conversível,vermelho,76299
Mercedes,2022,56256,híbrido,manual,conversível,,275621
Honda,2014,39824,híbrido,manual,sedan,,98123
BMW,2015,177203,híbrido,automático,sedan,,141958
Hyundai,2010,119052,gasolina,automático,sedan,,7664
Nissan,2002,73374,elétrico,manual,conversível,preto,32638
Toyota,2023,4765,elétrico,automático,SUV,cinza,241664
Hyundai,2019,41239,híbrido,automático,pickup,prata,181133
Mercedes,2019,97640,diesel,automático,sedan,,204652
Mercedes,2023,35671,gasolina,manual,pickup,,269030
Nissan,2011,36546,diesel,automático,pickup,,100418
Audi,2012,77180,elétrico,manual,conversível,verde,176974
Hyundai,2006,117004,híbrido,automático,SUV,,44097
Hyundai,2020,196056,diesel,automático,hatchback,vermelho,30761
Honda,2003,85372,híbrido,manual,SUV,,17240
Mercedes,2019,162644,diesel,automático,SUV,,187149
Nissan,2019,15146,gasolina,manual,hatchback,,115398
Chevrolet,2012,17518,gasolina,automático,sedan,prata,64737
Chevrolet,2016,83306,híbrido,manual,conversível,,81686
Toyota,2002,6786,híbrido,manual,hatchback,,23250
BMW,2005,37167,elétrico,automático,pickup,,211983
Hyundai,2000,22137,híbrido,manual,conversível,cinza,40504
Audi,2001,172515,elétrico,automático,sedan,cinza,33240
Hyundai,2013,96165,híbrido,manual,conversível,prata,79684
Nissan,2015,76020,gasolina,manual,pickup,,72786
Nissan,2017,42518,híbrido,automático,conversível,preto,152237
Volkswagen,2018,237994,híbrido,automático,SUV,branco,29404
Honda,2011,84812,híbrido,manual,hatchback,preto,38632
Mercedes,2019,245337,diesel,manual,hatchback,,80264
Audi,2014,187254,diesel,manual,SUV,vermelho,85922
BMW,2002,175716,elétrico,manual,hatchback,,51999
Volkswagen,2023,118421,híbrido,manual,sedan,cinza,106105
Mercedes,2019,53959,elétrico,automático,hatchback,,270229
Chevrolet,2014,20387,gasolina,automático,pickup,,97729
Mercedes,2000,168770,elétrico,automático,pickup,preto,84861
Ford,2017,53306,gasolina,manual,SUV,vermelho,81686
Mercedes,2005,100658,elétrico,automático,SUV,vermelho,174539
Audi,2003,99466,diesel,automático,hatchback,vermelho,49374
Toyota,2002,2103,diesel,automático,pickup,,47528
Honda,2006,114540,elétrico,manual,sedan,vermelho,10822
Mercedes,2007,189291,gasolina,manual,pickup,,49496
Honda,2008,28918,elétrico,manual,pickup,prata,105757
Chevrolet,2011,105614,elétrico,automático,hatchback,,45070
BMW,2007,200800,elétrico,automático,sedan,,90440
Volkswagen,2008,143413,elétrico,automático,SUV,verde,46611
Audi,2022,200460,diesel,automático,sedan,vermelho,118678
Honda,2013,176496,elétrico,manual,hatchback,,9453
Volkswagen,2020,50781,elétrico,manual,SUV,azul,181453
Mercedes,2012,215668,híbrido,automático,hatchback,,87032
Honda,2006,30404,gasolina,automático,SUV,preto,55717
Mercedes,2010,42422,híbrido,manual,pickup,,208305
Hyundai,2017,17808,gasolina,manual,pickup,preto,134534
Nissan,2015,32570,gasolina,manual,sedan,,82201
Ford,2007,86624,elétrico,manual,conversível,verde,30363
Ford,2014,34040,diesel,automático,SUV,cinza,102172
BMW,2014,193902,diesel,manual,SUV,,116269
BMW,2002,132156,diesel,automático,sedan,vermelho,61491
Nissan,2015,226156,híbrido,automático,SUV,verde,23691
Toyota,2018,18482,gasolina,automático,SUV,,141063
Ford,2017,13479,gasolina,automático,SUV,,123565
Mercedes,2011,201021,diesel,manual,SUV,azul,90285
Ford,2023,97069,gasolina,manual,sedan,verde,65052
BMW,2018,17226,diesel,manual,hatchback,,232942
Honda,2022,38284,gasolina,automático,SUV,cinza,162201
Nissan,2018,198521,gasolina,automático,SUV,preto,29035
Audi,2007,47864,diesel,automático,conversível,preto,134495
Toyota,2007,115887,elétrico,manual,SUV,,37879
Mercedes,2000,86177,elétrico,manual,conversível,branco,121676
Audi,2013,145469,elétrico,automático,SUV,cinza,164172
Hyundai,2015,117553,diesel,manual,SUV,,71713
BMW,2001,110456,gasolina,automático,pickup,cinza,76681
BMW,2005,170817,elétrico,automático,conversível,branco,111428
Audi,2010,67429,híbrido,automático,SUV,prata,176800
Mercedes,2019,45591,elétrico,manual,conversível,preto,283086
BMW,2005,141243,diesel,manual,sedan,preto,62130
BMW,2003,15014,gasolina,manual,sedan,azul,122490
Audi,2016,28364,diesel,manual,hatchback,branco,176145
Chevrolet,2018,167641,elétrico,automático,SUV,preto,85651
Honda,2014,40935,elétrico,automático,sedan,prata,132346
Volkswagen,2009,128243,elétrico,automático,sedan,,36230
Chevrolet,2020,137654,diesel,manual,conversível,preto,50642
Mercedes,2017,137625,elétrico,manual,conversível,prata,204662
Hyundai,2003,36872,elétrico,manual,SUV,branco,86190
Honda,2011,94814,elétrico,manual,hatchback,branco,52630
Mercedes,2019,195072,elétrico,automático,hatchback,verde,171450
Chevrolet,2013,135719,híbrido,automático,pickup,,44997
Toyota,2016,166749,gasolina,automático,conversível,vermelho,9276
Toyota,2001,40054,híbrido,automático,SUV,verde,41962
Mercedes,2015,54676,gasolina,manual,pickup,cinza,199727
Toyota,2022,145941,gasolina,manual,sedan,preto,37841
Hyundai,2014,116713,gasolina,automático,hatchback,,30301
Nissan,2000,43162,híbrido,automático,SUV,,46787
Volkswagen,2017,23097,diesel,manual,sedan,,109832
Volkswagen,2018,149032,híbrido,manual,conversível,branco,63678
Hyundai,2021,115360,híbrido,automático,hatchback,verde,115248
Mercedes,2013,133665,híbrido,automático,conversível,verde,172434
BMW,2018,205057,híbrido,automático,SUV,cinza,171460
Volkswagen,2012,3960,híbrido,automático,SUV,preto,151228
Nissan,2023,64480,diesel,automático,conversível,azul,157864
Audi,2018,114196,diesel,manual,SUV,,165063
Honda,2021,50761,híbrido,manual,sedan,,139467
Chevrolet,2014,106128,diesel,manual,hatchback,,9710
Mercedes,2005,97998,gasolina,automático,conversível,,106401
Hyundai,2004,101219,híbrido,manual,pickup,,20147
Chevrolet,2011,38700,diesel,automático,SUV,,84910
Audi,2015,213563,elétrico,automático,SUV,verde,130506
Hyundai,2009,65931,diesel,manual,hatchback,,30848
BMW,2013,167086,elétrico,automático,conversível,,170040
Volkswagen,2008,47908,gasolina,manual,SUV,,43464
Chevrolet,2020,124967,híbrido,manual,sedan,verde,66523
Hyundai,2015,164638,elétrico,automático,pickup,cinza,87753
Ford,2002,16097,híbrido,automático,pickup,,44732
Toyota,2023,65214,híbrido,automático,conversível,,164350
Honda,2012,59490,gasolina,manual,conversível,,49357
Hyundai,2012,116320,gasolina,automático,pickup,branco,44576
Audi,2018,247915,elétrico,manual,SUV,prata,113460
Chevrolet,2009,78008,gasolina,manual,pickup,prata,8394
BMW,2013,126289,híbrido,manual,pickup,,170598
Mercedes,2006,93278,gasolina,automático,conversível,,116705
Audi,2022,117081,gasolina,manual,conversível,azul,163043
Ford,2009,100810,híbrido,automático,pickup,,34433
Hyundai,2018,69864,gasolina,manual,conversível,,98095
Volkswagen,2011,8614,elétrico,manual,hatchback,vermelho,112970
Toyota,2020,219693,elétrico,automático,SUV,,70215
Audi,2004,136029,híbrido,manual,sedan,verde,44780
Audi,2005,87579,gasolina,manual,pickup,azul,71695
Nissan,2012,113078,elétrico,automático,hatchback,cinza,67845
Chevrolet,2018,117026,híbrido,automático,conversível,,86082
Hyundai,2022,214870,gasolina,automático,pickup,azul,45591
Volkswagen,2011,98443,gasolina,automático,conversível,,29090
Nissan,2009,51088,gasolina,manual,hatchback,verde,20238
Audi,2009,155784,diesel,manual,conversível,preto,58951
Nissan,2015,137524,diesel,automático,pickup,,57733
Ford,2010,75217,diesel,automático,sedan,,17348
BMW,2013,237177,híbrido,manual,sedan,azul,71976
Audi,2007,83629,gasolina,manual,hatchback,azul,60460
BMW,2022,81898,diesel,automático,conversível,,250671
Nissan,2009,107507,diesel,manual,conversível,,15745
Audi,2014,38014,gasolina,manual,pickup,,169390
Volkswagen,2014,51389,gasolina,manual,pickup,,76028
BMW,2022,152608,híbrido,automático,hatchback,preto,201174
Hyundai,2023,48901,elétrico,manual,sedan,azul,189769
Mercedes,2011,31048,elétrico,automático,sedan,,237266
Hyundai,2013,86906,gasolina,automático,sedan,,51166
Mercedes,2011,100382,gasolina,manual,sedan,,118733
Hyundai,2008,140471,híbrido,manual,conversível,preto,13670
Nissan,2021,132326,elétrico,automático,pickup,branco,145372
BMW,2006,130995,híbrido,manual,pickup,cinza,118303
Volkswagen,2009,91563,gasolina,manual,pickup,preto,12906
BMW,2012,249753,híbrido,automático,hatchback,cinza,63173
Mercedes,2006,40733,elétrico,automático,sedan,,195487
Volkswagen,2023,60390,gasolina,manual,conversível,preto,125727
BMW,2020,226099,elétrico,automático,sedan,prata,163731
Ford,2010,47588,gasolina,manual,pickup,,29688
Nissan,2019,58242,híbrido,automático,conversível,preto,155231
BMW,2023,69257,híbrido,manual,conversível,verde,273520
Ford,2019,237863,elétrico,manual,SUV,cinza,22496
Toyota,2011,97561,híbrido,automático,hatchback,verde,36707
Mercedes,2001,20238,elétrico,manual,hatchback,prata,153833
Chevrolet,2017,154844,híbrido,automático,hatchback,verde,31609
Toyota,2018,133631,elétrico,automático,pickup,verde,109458
Mercedes,2021,155851,híbrido,manual,hatchback,,177904
Mercedes,2005,406,diesel,manual,conversível,,174716
Audi,2008,10003,híbrido,manual,conversível,cinza,174998
BMW,2009,53799,elétrico,manual,conversível,,207341
BMW,2000,53875,diesel,manual,SUV,,116287
Ford,2016,75074,gasolina,manual,hatchback,,24448
Hyundai,2020,154607,diesel,automático,conversível,preto,80775
Chevrolet,2010,39706,gasolina,manual,pickup,,42206
Mercedes,2022,176827,híbrido,manual,conversível,cinza,191221
Audi,2003,58272,diesel,automático,sedan,vermelho,85210
Mercedes,2011,45810,híbrido,automático,hatchback,verde,198933
Honda,2022,27652,elétrico,manual,conversível,,197644
Nissan,2015,45236,elétrico,automático,SUV,,171335
Hyundai,2002,42459,híbrido,automático,hatchback,,33279
Honda,2010,89482,gasolina,manual,SUV,azul,28363
Nissan,2017,125400,gasolina,manual,sedan,,31220
Audi,2002,30967,híbrido,manual,conversível,vermelho,118323
Nissan,2002,62778,elétrico,manual,conversível,,40055
Hyundai,2023,38417,gasolina,manual,pickup,vermelho,162108
Volkswagen,2019,140244,diesel,automático,hatchback,preto,48829
Chevrolet,2015,194314,elétrico,automático,SUV,,45980
Hyundai,2010,18486,gasolina,automático,conversível,,92060
Toyota,2011,149923,híbrido,manual,pickup,branco,14054
BMW,2012,102158,gasolina,automático,conversível,verde,152489
Nissan,2008,16818,diesel,manual,hatchback,,51227
Mercedes,2015,242387,gasolina,automático,conversível,,75329
Hyundai,2007,33516,diesel,manual,pickup,,67539
BMW,2019,86032,diesel,manual,sedan,,198778
Toyota,2007,66257,elétrico,automático,pickup,cinza,79620
Audi,2018,113474,elétrico,manual,SUV,vermelho,207568
Toyota,2020,72158,gasolina,manual,pickup,azul,96489
Nissan,2003,89650,híbrido,manual,SUV,,21245
Chevrolet,2018,88089,híbrido,automático,sedan,prata,92338
Audi,2017,216538,híbrido,manual,hatchback,,72423
Nissan,2016,172328,gasolina,automático,SUV,,33370
Honda,2012,199008,elétrico,automático,SUV,branco,35694
Volkswagen,2013,178508,híbrido,automático,sedan,,8044
BMW,2006,53135,gasolina,manual,hatchback,,109806
Chevrolet,2018,120029,híbrido,automático,pickup,,90980
Nissan,2019,60242,gasolina,manual,pickup,,111831
Audi,2009,118286,híbrido,automático,pickup,,127200
Chevrolet,2021,137104,gasolina,automático,pickup,preto,65027
Volkswagen,2011,123198,elétrico,manual,SUV,preto,67761
Mercedes,2008,183063,elétrico,manual,pickup,vermelho,116856
Chevrolet,2020,223016,diesel,automático,pickup,,11889
Hyundai,2021,112609,elétrico,manual,conversível,azul,145174
Mercedes,2019,59974,diesel,automático,hatchback,prata,224018
Volkswagen,2021,118480,diesel,manual,conversível,cinza,85064
Chevrolet,2018,37939,híbrido,automático,sedan,azul,127443
Mercedes,2005,227637,híbrido,manual,pickup,,43654
Honda,2013,144411,gasolina,manual,SUV,branco,10912
Hyundai,2009,83147,híbrido,manual,SUV,,74797
Mercedes,2000,85386,elétrico,manual,sedan,,108230
Hyundai,2015,63836,elétrico,manual,pickup,verde,144315
Ford,2005,48935,elétrico,manual,sedan,cinza,28745
Honda,2023,113654,gasolina,automático,pickup,prata,109442
Hyundai,2005,49102,diesel,automático,SUV,verde,63629
Hyundai,2000,72732,elétrico,manual,SUV,vermelho,40088
Mercedes,2020,247300,diesel,manual,hatchback,,85890
Hyundai,2018,4477,elétrico,manual,sedan,,185866
Audi,2018,217923,diesel,automático,pickup,,99454
Hyundai,2018,137590,elétrico,manual,hatchback,vermelho,85687
Chevrolet,2023,19274,elétrico,manual,pickup,prata,203508
Audi,2015,234302,híbrido,manual,conversível,cinza,66989
Mercedes,2010,141930,gasolina,automático,pickup,cinza,117649
Mercedes,2016,64341,elétrico,automático,SUV,,276961
Toyota,2023,236062,híbrido,manual,SUV,,44757
Hyundai,2000,71014,elétrico,manual,SUV,,41290
BMW,2001,76596,diesel,manual,hatchback,preto,72383
Ford,2005,13227,gasolina,automático,SUV,,39741
Nissan,2015,151035,híbrido,manual,SUV,prata,62275
Hyundai,2015,94929,gasolina,automático,pickup,,80550
Mercedes,2018,110567,elétrico,automático,hatchback,branco,223603
Hyundai,2005,169815,elétrico,automático,conversível,preto,7130
BMW,2020,34367,híbrido,manual,SUV,vermelho,290943
Audi,2001,58106,híbrido,manual,hatchback,preto,71326
BMW,2008,237153,diesel,automático,hatchback,preto,22993
BMW,2021,61679,diesel,manual,hatchback,preto,222825
Mercedes,2017,48201,elétrico,automático,hatchback,,260259
BMW,2022,177789,gasolina,automático,hatchback,azul,148548
Honda,2012,37842,elétrico,automático,SUV,,148511
Mercedes,2014,128386,diesel,manual,pickup,,155130
Ford,2019,107398,diesel,manual,sedan,,43821
Mercedes,2017,86500,elétrico,automático,SUV,,268450
Mercedes,2011,5811,híbrido,automático,SUV,,261932
Volkswagen,2017,87164,diesel,automático,sedan,cinza,78985
Mercedes,2006,161789,elétrico,automático,conversível,,124748
Toyota,2015,14493,elétrico,manual,sedan,azul,136855
Nissan,2014,118822,elétrico,manual,SUV,,98825
Volkswagen,2021,3591,elétrico,automático,pickup,prata,228486
Hyundai,2008,57851,híbrido,manual,SUV,preto,85504
Toyota,2017,82083,gasolina,manual,pickup,branco,68542
Hyundai,2019,123944,diesel,automático,SUV,azul,109239
Chevrolet,2011,72621,elétrico,automático,hatchback,branco,68165
Honda,2009,63746,elétrico,automático,pickup,azul,102378
Ford,2023,21580,híbrido,manual,SUV,,180894
Chevrolet,2010,117865,elétrico,automático,SUV,prata,64494
Toyota,2015,18701,diesel,automático,conversível,,119909
Nissan,2003,108072,elétrico,automático,sedan,preto,15350
BMW,2007,140125,elétrico,automático,hatchback,,125912
BMW,2011,38804,elétrico,automático,SUV,,259837
Audi,2010,199655,diesel,manual,SUV,,49242
BMW,2010,133883,híbrido,automático,conversível,,151282
Mercedes,2010,243532,diesel,automático,sedan,,39528
BMW,2011,62912,diesel,manual,pickup,azul,179962
Audi,2006,51344,híbrido,automático,conversível,,146059
BMW,2005,180872,híbrido,manual,pickup,,76390
Toyota,2013,22570,híbrido,automático,conversível,,124201
Chevrolet,2016,131437,híbrido,manual,sedan,,33994
Mercedes,2002,51678,diesel,manual,conversível,,117825
Hyundai,2005,59135,diesel,automático,sedan,cinza,28606
Honda,2023,53272,elétrico,automático,conversível,,200710
Toyota,2014,187175,elétrico,automático,sedan,,22978
Mercedes,2012,212620,elétrico,manual,SUV,,131166
BMW,2005,45369,elétrico,automático,SUV,preto,213242
Audi,2019,139463,híbrido,manual,conversível,vermelho,161376
Nissan,2011,80401,gasolina,automático,conversível,vermelho,48719
Ford,2023,87503,elétrico,automático,hatchback,branco,134748
Chevrolet,2021,61396,elétrico,manual,pickup,prata,160023
Toyota,2004,62852,híbrido,automático,conversível,,33004
Mercedes,2015,187455,diesel,manual,conversível,prata,113782
Honda,2007,112150,híbrido,automático,conversível,preto,26495
Hyundai,2001,54469,elétrico,manual,pickup,,52872
Mercedes,2006,240525,híbrido,automático,conversível,vermelho,48632
BMW,2004,82213,elétrico,automático,conversível,,166451
Hyundai,2019,36015,elétrico,manual,SUV,vermelho,198790
Ford,2023,1908,gasolina,automático,sedan,,145664
Hyundai,2001,55665,híbrido,automático,conversível,preto,38034
Toyota,2021,36332,gasolina,automático,SUV,prata,149568
Mercedes,2004,172991,elétrico,automático,hatchback,vermelho,81906
Volkswagen,2022,59895,diesel,manual,conversível,,133074
Mercedes,2008,41526,diesel,automático,conversível,,180932
Mercedes,2012,178154,gasolina,manual,sedan,azul,71292
Mercedes,2001,73520,híbrido,manual,sedan,,102536
Ford,2016,71816,diesel,automático,conversível,,75729
BMW,2011,197047,diesel,manual,sedan,,65067
Audi,2015,225575,elétrico,automático,pickup,verde,115097
Volkswagen,2003,46450,híbrido,manual,sedan,verde,16485
Nissan,2009,33974,diesel,manual,sedan,preto,53218
Volkswagen,2005,49389,híbrido,manual,SUV,azul,56428
Chevrolet,2015,54500,gasolina,automático,pickup,,80850
Mercedes,2010,175093,diesel,manual,hatchback,,66435
Ford,2018,29493,híbrido,automático,SUV,,154355
Hyundai,2018,63620,elétrico,automático,SUV,vermelho,186466
Audi,2017,12738,gasolina,manual,hatchback,cinza,180083
Chevrolet,2003,11705,elétrico,manual,conversível,prata,61806
Chevrolet,2009,93015,gasolina,automático,pickup,preto,11890
Ford,2019,144077,elétrico,manual,pickup,,81146
Honda,2014,165213,diesel,manual,pickup,,10351
Toyota,2007,44491,híbrido,automático,SUV,verde,80856
BMW,2013,186502,diesel,manual,conversível,cinza,100449
Nissan,2023,147805,elétrico,manual,sedan,verde,113536
Honda,2022,102677,híbrido,manual,pickup,,131126
Nissan,2020,183059,híbrido,manual,sedan,branco,46859
Hyundai,2014,121287,gasolina,manual,conversível,prata,34099
Audi,2011,35765,diesel,automático,sedan,verde,156964
Honda,2023,108481,diesel,manual,hatchback,,85063
Audi,2005,119234,híbrido,automático,pickup,,98536
Hyundai,2011,20479,elétrico,automático,pickup,cinza,160665
Mercedes,2006,96980,híbrido,manual,hatchback,preto,114114
Honda,2017,121830,diesel,manual,sedan,,40719
Hyundai,2022,157777,híbrido,automático,hatchback,,92556
Volkswagen,2022,173539,híbrido,manual,sedan,verde,60523
BMW,2015,134635,elétrico,manual,pickup,,199756
Chevrolet,2004,20612,diesel,manual,pickup,azul,27572
Honda,2007,3557,diesel,manual,SUV,branco,81510
Mercedes,2011,19450,elétrico,manual,conversível,,245385
Toyota,2001,50700,elétrico,manual,pickup,,34510
Audi,2020,40070,elétrico,manual,pickup,,265951
Nissan,2023,76633,elétrico,automático,pickup,preto,198357
Toyota,2021,87076,elétrico,manual,hatchback,,121047
Ford,2015,80519,diesel,automático,conversível,,62637
Mercedes,2012,116737,gasolina,automático,sedan,,128284
Chevrolet,2016,57142,elétrico,manual,sedan,verde,107001
Chevrolet,2008,48909,elétrico,manual,sedan,azul,56764
Mercedes,2022,6298,elétrico,manual,hatchback,azul,310591
Audi,2013,199110,híbrido,automático,pickup,branco,98623
Volkswagen,2022,29025,diesel,automático,pickup,vermelho,175682
Mercedes,2023,159028,gasolina,manual,hatchback,,154680
Audi,2002,177057,elétrico,automático,hatchback,,30060
BMW,2010,166901,diesel,automático,SUV,,121169
BMW,2006,6815,elétrico,automático,conversível,,233229
Audi,2008,104205,gasolina,manual,hatchback,azul,53056
BMW,2014,73252,elétrico,manual,conversível,,228724
Chevrolet,2005,37436,elétrico,manual,conversível,,57795
Toyota,2017,57909,elétrico,manual,SUV,azul,148464
Hyundai,2021,47889,gasolina,automático,pickup,azul,155478
Audi,2001,116554,elétrico,manual,sedan,,58412
Toyota,2010,103796,diesel,automático,SUV,,39343
BMW,2023,195412,gasolina,manual,sedan,verde,136212
BMW,2021,210351,elétrico,automático,SUV,,209754
Volkswagen,2010,3181,diesel,manual,SUV,preto,102773
Ford,2022,6300,híbrido,automático,sedan,,170590
Honda,2014,43565,híbrido,automático,SUV,cinza,137504
Ford,2014,199901,elétrico,automático,conversível,,14069
BMW,2010,242095,gasolina,manual,pickup,preto,33534
Ford,2003,53710,elétrico,manual,sedan,,11403
Chevrolet,2017,62675,elétrico,manual,pickup,azul,131128
Toyota,2011,57116,diesel,manual,sedan,preto,37019
Honda,2004,92888,híbrido,manual,pickup,,11978
Ford,2020,182167,diesel,manual,pickup,,19483
BMW,2014,198935,híbrido,automático,sedan,cinza,119745
Audi,2008,223902,híbrido,automático,SUV,,53269
BMW,2002,240337,elétrico,manual,conversível,,27764
BMW,2004,93541,diesel,manual,conversível,cinza,102521
Chevrolet,2005,44948,elétrico,manual,conversível,,52536
Chevrolet,2009,43877,elétrico,automático,sedan,,81286
BMW,2009,213617,elétrico,manual,pickup,,102468
Chevrolet,2008,89191,elétrico,automático,pickup,prata,63566
Volkswagen,2005,14399,elétrico,manual,pickup,,94921
Audi,2008,53647,gasolina,automático,sedan,prata,109447
Chevrolet,2005,78343,híbrido,manual,SUV,,22160
Honda,2016,95860,diesel,automático,pickup,preto,86898
BMW,2000,31147,diesel,manual,sedan,,104197
Audi,2002,117772,elétrico,manual,sedan,azul,64560
Nissan,2019,124348,gasolina,manual,sedan,vermelho,45956
BMW,2008,212167,diesel,automático,conversível,branco,61483
Audi,2022,203607,diesel,automático,pickup,vermelho,137475
Chevrolet,2016,118705,diesel,manual,pickup,,42906
Hyundai,2019,209587,híbrido,manual,SUV,vermelho,56289
BMW,2009,61330,gasolina,automático,sedan,azul,146069
BMW,2021,75442,diesel,manual,hatchback,,213191
BMW,2000,177246,gasolina,manual,pickup,,8928
Ford,2023,41013,diesel,manual,sedan,,118291
Audi,2017,145419,diesel,manual,sedan,branco,108207
Audi,2002,55397,híbrido,manual,SUV,prata,115222
Ford,2022,41712,diesel,automático,sedan,vermelho,124802
BMW,2017,248472,híbrido,manual,pickup,,113070
BMW,2020,6771,elétrico,automático,pickup,cinza,338260
BMW,2008,188525,gasolina,automático,SUV,,78032
Volkswagen,2011,43568,elétrico,manual,conversível,verde,109502
Mercedes,2013,131851,diesel,automático,hatchback,,131704
Mercedes,2019,241594,híbrido,manual,pickup,prata,131884
Hyundai,2002,13785,elétrico,manual,hatchback,vermelho,60350
Ford,2023,27398,híbrido,automático,SUV,,190821
Volkswagen,2002,35333,híbrido,automático,hatchback,verde,24267
Audi,2005,153559,elétrico,automático,conversível,azul,88509
BMW,2004,128591,diesel,automático,SUV,cinza,105986
Audi,2012,92857,elétrico,automático,pickup,,187000
Audi,2018,208180,elétrico,manual,SUV,,141274
Mercedes,2003,15953,diesel,automático,pickup,vermelho,170833
Audi,2018,55685,híbrido,manual,pickup,preto,220020
BMW,2016,3661,diesel,manual,sedan,,235437
Toyota,2023,145034,elétrico,automático,hatchback,,108476
BMW,2021,127091,elétrico,manual,hatchback,,219036
Audi,2021,231742,gasolina,manual,sedan,,61781
Mercedes,2014,226574,gasolina,manual,SUV,verde,79398
Honda,2015,112540,gasolina,manual,SUV,preto,47222
Mercedes,2011,210194,diesel,automático,SUV,branco,97864
Honda,2007,99724,gasolina,automático,SUV,azul,14193
Nissan,2005,63902,gasolina,manual,pickup,vermelho,11269
BMW,2007,77709,híbrido,automático,pickup,verde,176604
Mercedes,2001,85267,diesel,automático,SUV,,115313
Audi,2014,102270,elétrico,automático,pickup,,194411
BMW,2014,127855,diesel,automático,conversível,prata,162502
