"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" carne de porco"," outros vegetais"," vegetais congelados"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinho branco"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," sobremesa"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," vinho branco"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" açúcar","refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," pãezinhos/pãezinhos"," café"," suco de frutas/vegetais"," doce","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," Requeijão cremoso"," barrar queijo"," sobremesa congelada"," pão branco"," água engarrafada","refrigerante"," diversos. bebidas"," suco de frutas/vegetais"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," iogurte"," água engarrafada"," cosméticos masculinos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão branco"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão integral"," açúcar"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," café"," água engarrafada"," vinho tinto/blush"," doce"," produtos para manutenção da casa"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," detergente"," artigos de higiene"," foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," bagas"," frutas/legumes embalados"," leite inteiro"," maionese"," peixe congelado"," produtos de batata congelados"," óleo"," mostarda"," comida de gato"," café","refrigerante"," chocolate"," limpador de louça"," guardanapos"," jornais","","","","","","","","","","","","","","",""
" outros vegetais"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," água engarrafada"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" espumante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," bagas"," outros vegetais"," Soro de leite coalhado"," açúcar"," suco de frutas/vegetais"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," vegetais de raiz"," outros vegetais"," leite inteiro"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," produtos de batata congelados"," Margarina"," água engarrafada"," suco de frutas/vegetais"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","",""
" ervas"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," barrar queijo"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos sanitários femininos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," bebidas"," pão branco"," massa"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," produtos sanitários femininos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão branco"," água engarrafada","refrigerante"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," goma de mascar"," marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," leite inteiro"," vegetais congelados"," mel"," fermento em pó"," café"," vinho tinto/blush"," marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta pipa"," leite inteiro"," Soro de leite coalhado","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta tropical"," fruta pipa"," coalhada"," Leite UHT"," queijo duro"," ovos domésticos"," pãezinhos/pãezinhos"," artigos de higiene"," guardanapos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," suco de frutas/vegetais"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," iogurte"," pão integral"," cereais"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro"," coalhada"," pastelaria"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" foto/filme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante"," salgadinhos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," coalhada"," Refeições congeladas"," produtos de batata congelados","refrigerante"," cerveja engarrafada"," toalhas de cozinha","velas","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," chantilly/creme de leite"," pãezinhos/pãezinhos"," zwieback"," especiarias","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," suco de frutas/vegetais"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," iogurte"," ovos domésticos"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta tropical"," ervas"," leite inteiro"," coalhada"," iogurte"," chantilly/creme de leite"," queijo fatiado","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," café"," produto de panificação longa vida"," detergente"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro"," água engarrafada"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais congelados"," cerveja engarrafada"," licor (aperitivo)"," goma de mascar"," guardanapos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," vegetais de raiz"," outros vegetais"," ovos domésticos"," produtos em rolo"," óleo"," Margarina"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," iogurte"," suco de frutas/vegetais"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais congelados"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," Leite UHT"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro"," coalhada"," rum","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" uvas"," vegetais de raiz"," vegetais congelados"," ovos domésticos"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," frutas/legumes embalados"," manteiga"," chantilly/creme de leite"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," vegetais congelados"," pãezinhos/pãezinhos"," cerveja em lata"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" filme plástico/sacos"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," leite inteiro"," pãezinhos/pãezinhos"," Margarina"," fermento em pó"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta tropical"," leite inteiro"," coalhada"," iogurte"," queijo duro"," Refeições congeladas"," sobremesa congelada"," ovos domésticos"," cereais"," fermento em pó"," suco de frutas/vegetais"," sabão","","","","","","","","","","","","","","","","","","",""
" frango"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," limpador de louça"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," pastelaria"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," cerveja engarrafada"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," bagas"," vegetais de raiz"," outros vegetais"," leite inteiro"," manteiga"," água engarrafada"," álcool isopropílico"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Queijo processado"," pão integral"," pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," fruta tropical"," vegetais de raiz"," leite inteiro"," iogurte"," pãezinhos/pãezinhos"," pastelaria"," doce","","","","","","","","","","","","","","","","","","","","","","",""
" café"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," pãezinhos/pãezinhos"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro"," peixe enlatado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta pipa"," outros vegetais"," leite inteiro"," coalhada"," pão branco"," açúcar"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","",""
" sabão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," manteiga"," Refeições congeladas"," massa"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," carne de hambúrguer"," citrino"," leite inteiro"," mostarda"," sabão","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," outros vegetais"," leite inteiro"," iogurte"," pãezinhos/pãezinhos","refrigerante"," cerveja engarrafada"," chocolate"," jornais","","","","","","","","","","","","","","","","","","","","","",""
" frango congelado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," coalhada"," iogurte"," pãezinhos/pãezinhos"," pão integral"," água engarrafada"," cerveja engarrafada"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," coalhada"," pãezinhos/pãezinhos"," óleo"," Margarina"," barra de especialidades"," detergente"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne de porco"," carne bovina"," citrino"," vegetais de raiz"," outros vegetais"," leite inteiro"," legumes em conserva","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne de hambúrguer"," vegetais de raiz"," frutas/legumes embalados"," leite inteiro"," manteiga"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante"," vinho tinto/blush"," produto de panificação longa vida"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," leite inteiro"," pastelaria"," molhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," queijo fatiado"," pastelaria"," vinho branco"," lâmpadas"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," fruta tropical"," iogurte"," Leite UHT"," vegetais congelados"," pãezinhos/pãezinhos"," água engarrafada"," cuidados com a pele","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," bagas"," pão integral"," açúcar"," café"," toalhas de cozinha","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," especiarias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," ervas"," leite inteiro"," manteiga"," coalhada"," chantilly/creme de leite"," vegetais congelados"," vegetais enlatados"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne bovina"," ervas"," leite inteiro"," sobremesa congelada"," pãezinhos/pãezinhos"," pão semiacabado"," farinha"," óleo"," café"," vasos de plantas","","","","","","","","","","","","","","","","","","","","",""
" bebidas"," pastelaria"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," outros vegetais"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," pão branco"," Margarina"," spray de cabelo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," leite inteiro"," óleo"," ketchup"," sopas"," Produtos alimentares instantâneos"," peixe enlatado"," café"," cerveja engarrafada"," artigos de higiene"," jornais","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," outros vegetais"," Soro de leite coalhado"," queijo fatiado"," Queijo processado"," pãezinhos/pãezinhos"," Margarina"," água engarrafada"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," leite inteiro"," ovos domésticos"," pãezinhos/pãezinhos"," pastelaria"," produtos em rolo"," chá"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," leite inteiro"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," uvas"," outros vegetais"," vegetais congelados"," legumes em conserva"," suco de frutas/vegetais"," licor"," rum"," licor (aperitivo)"," doce"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","",""
" iogurte"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," outros vegetais"," chantilly/creme de leite"," pão integral"," peixe enlatado"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," vegetais de raiz"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," outros vegetais"," leite inteiro"," pão integral"," pastelaria"," lanche salgado"," limpador abrasivo"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," pãezinhos/pãezinhos"," pastas de carne"," água engarrafada","refrigerante"," diversos. bebidas"," waffles"," chocolate"," doce","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," outros vegetais"," iogurte"," pãezinhos/pãezinhos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," citrino"," vegetais de raiz"," pãezinhos/pãezinhos"," Produtos alimentares instantâneos"," peixe enlatado"," água engarrafada","refrigerante"," suco de frutas/vegetais"," guardanapos","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," salsicha"," ovos domésticos","refrigerante"," goma de mascar"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," ovos domésticos"," pãezinhos/pãezinhos"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," vegetais de raiz"," cebola"," outros vegetais"," pão branco"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne de hambúrguer"," ervas"," chantilly/creme de leite"," sopas","refrigerante"," cerveja em lata"," limpador de louça"," guardanapos"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","",""
" café","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Requeijão cremoso"," água engarrafada"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," outros vegetais"," leite inteiro"," coalhada"," iogurte"," produtos de batata"," suco de frutas/vegetais"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," Soro de leite coalhado"," Leite UHT"," pãezinhos/pãezinhos"," produtos sanitários femininos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," outros vegetais"," manteiga"," chantilly/creme de leite"," açúcar","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," cerveja engarrafada"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," cebola"," coalhada"," iogurte"," ovos domésticos"," café","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," ovos domésticos"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," cerveja engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," queijo duro"," marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," outros vegetais"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," Soro de leite coalhado"," iogurte"," bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de hambúrguer"," leite inteiro"," pãezinhos/pãezinhos"," produtos de batata"," mostarda"," café"," waffles"," marshmallow de chocolate"," sabão"," jornais","","","","","","","","","","","","","","","","","","","","",""
" frango"," manteiga"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," fruta tropical"," fruta pipa"," pastelaria"," açúcar"," café","velas"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," leite inteiro"," chantilly/creme de leite"," bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," pastelaria"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," queijo fatiado"," Margarina"," comida de gato"," detergente"," pratos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," leite inteiro"," iogurte"," pãezinhos/pãezinhos"," pastelaria"," vinagre"," açúcar","refrigerante"," suco de frutas/vegetais"," guardanapos","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," leite inteiro"," pão integral"," chocolate especial"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," outros vegetais"," Soro de leite coalhado"," Requeijão cremoso"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," pãezinhos/pãezinhos"," café"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne bovina"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," queijo fatiado"," vegetais congelados"," peixe congelado"," sobremesa congelada"," chocolate","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Refeições congeladas"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," peixe enlatado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos para manutenção da casa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," sal"," geléia"," espumante"," limpador","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," coalhada"," queijo fatiado"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," Leite UHT"," artífice. adoçante"," cuidado dental","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," bagas"," cebola"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pão integral"," massa"," Margarina"," água engarrafada"," guardanapos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," Leite UHT"," água engarrafada","refrigerante"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," coalhada"," iogurte"," requeijão"," Margarina"," limpador"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante"," suco de frutas/vegetais"," cerveja em lata"," vinho branco"," produto de panificação longa vida"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta pipa"," leite inteiro"," pãezinhos/pãezinhos"," produtos em rolo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," artigos de higiene"," jornais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada"," queijo fatiado"," comida de gato"," café","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne bovina"," manteiga","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante"," salgadinhos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pastelaria"," água engarrafada"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," cebola"," outros vegetais"," leite inteiro"," pão integral"," vinho branco"," vinho tinto/blush","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," cebola"," leite inteiro"," manteiga"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," peru"," outros vegetais"," iogurte"," pão integral"," óleo"," artigos de higiene"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," leite inteiro"," coalhada"," queijo duro","refrigerante"," doce"," jornais","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," pastelaria"," Margarina"," sopas prontas"," café instantâneo"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite UHT"," sobremesa congelada"," suco de frutas/vegetais"," descalcificador"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
